target_crime,cluster,cell_count,mean_specific_gate,mean_training_events
BURGLARY,0,57,0.6532663106918335,161.42105102539062
BURGLARY,1,51,0.676863968372345,92.2549057006836
BURGLARY,2,47,0.6658973097801208,121.34042358398438
BURGLARY,3,50,0.671067476272583,105.0999984741211
CAR_THEFT,0,47,0.5286282300949097,203.3829803466797
CAR_THEFT,1,45,0.5359440445899963,147.3111114501953
CAR_THEFT,2,51,0.5258241295814514,249.2941131591797
CAR_THEFT,3,62,0.5238639712333679,267.2742004394531
THEFT_FROM_VEHICLE,0,54,0.5555046796798706,285.8518371582031
THEFT_FROM_VEHICLE,1,53,0.5570750832557678,320.867919921875
THEFT_FROM_VEHICLE,2,41,0.5653665661811829,217.73170471191406
THEFT_FROM_VEHICLE,3,57,0.5687909126281738,225.24562072753906
