forecast_date,mae,mape_positive,observed_events,predicted_events
2022-09-06,0.30283617973327637,0.7166544198989868,184.0,125.23257446289062
2022-09-07,0.29129379987716675,0.6862052083015442,198.0,121.5325927734375
2022-09-08,0.3058510422706604,0.7394164800643921,180.0,125.51116943359375
2022-09-09,0.33105698227882385,0.7771879434585571,210.0,112.71807861328125
2022-09-10,0.30104660987854004,0.7397392988204956,178.0,119.25148010253906
2022-09-11,0.29459914565086365,0.6945191025733948,202.0,119.36592864990234
2022-09-12,0.3305160403251648,0.7135043144226074,194.0,130.26068115234375
2022-09-13,0.2993144690990448,0.7331761121749878,178.0,124.39424896240234
2022-09-14,0.35233500599861145,0.7454760670661926,219.0,128.40887451171875
2022-09-15,0.3306522071361542,0.7294847369194031,214.0,122.89923095703125
2022-09-16,0.33618998527526855,0.6986291408538818,234.0,129.2514190673828
2022-09-17,0.3289429247379303,0.7148314714431763,221.0,127.28400421142578
2022-09-18,0.3064088821411133,0.7578772902488708,185.0,132.13381958007812
2022-09-19,0.3489992618560791,0.7606685757637024,210.0,127.48738098144531
2022-09-20,0.2883027493953705,0.7119107246398926,181.0,127.12672424316406
2022-09-21,0.3298971951007843,0.7212133407592773,220.0,129.16921997070312
2022-09-22,0.32985031604766846,0.7218207120895386,206.0,129.7551727294922
2022-09-23,0.3423962891101837,0.7291717529296875,228.0,127.11861419677734
2022-09-24,0.28025177121162415,0.7098550200462341,171.0,130.3323974609375
2022-09-25,0.27330535650253296,0.6987969875335693,169.0,125.50263977050781
2022-09-26,0.28305521607398987,0.7349371910095215,174.0,125.90570068359375
2022-09-27,0.26521265506744385,0.6900359392166138,156.0,125.54732513427734
2022-09-28,0.2950412929058075,0.7183810472488403,190.0,124.40324401855469
2022-09-29,0.2837148904800415,0.6979457139968872,186.0,125.30318450927734
2022-09-30,0.2982637584209442,0.7220787405967712,186.0,123.55049133300781
2022-10-01,0.3527710437774658,0.7597195506095886,226.0,126.80982971191406
2022-10-02,0.2711613178253174,0.7011273503303528,157.0,126.53385925292969
2022-10-03,0.29451826214790344,0.7348012328147888,188.0,126.52317810058594
2022-10-04,0.2914577126502991,0.7211368083953857,179.0,121.65350341796875
2022-10-05,0.3018479347229004,0.7183812260627747,196.0,121.68516540527344
2022-10-06,0.2681080102920532,0.7071057558059692,162.0,126.25834655761719
2022-10-07,0.35290494561195374,0.7561213374137878,228.0,119.14303588867188
2022-10-08,0.3330170512199402,0.709583044052124,220.0,126.85308074951172
2022-10-09,0.26270592212677,0.7046154141426086,160.0,122.43277740478516
2022-10-10,0.26454848051071167,0.6692187190055847,165.0,124.98416137695312
2022-10-11,0.31924745440483093,0.7035439610481262,210.0,121.029052734375
2022-10-12,0.31986546516418457,0.7278446555137634,217.0,125.17203521728516
2022-10-13,0.31480902433395386,0.7292325496673584,195.0,127.50770568847656
2022-10-14,0.3672657907009125,0.7669655680656433,242.0,127.35636901855469
2022-10-15,0.32970985770225525,0.7339618802070618,210.0,131.19244384765625
2022-10-16,0.27817559242248535,0.6961266994476318,183.0,129.21632385253906
2022-10-17,0.33284643292427063,0.7272247672080994,204.0,133.04774475097656
2022-10-18,0.31020623445510864,0.7210744023323059,188.0,131.47525024414062
2022-10-19,0.32199445366859436,0.7342124581336975,198.0,135.77085876464844
2022-10-20,0.33309757709503174,0.6868883967399597,207.0,131.659912109375
2022-10-21,0.3503299355506897,0.7225422859191895,226.0,131.19876098632812
2022-10-22,0.3189111053943634,0.6843764781951904,206.0,134.56175231933594
2022-10-23,0.29828569293022156,0.7142896056175232,173.0,128.41506958007812
2022-10-24,0.3118860125541687,0.7122803926467896,190.0,129.24728393554688
2022-10-25,0.2942444980144501,0.7153775095939636,195.0,121.84688568115234
2022-10-26,0.3288362920284271,0.7600176334381104,210.0,125.67594146728516
2022-10-27,0.3111542761325836,0.71626877784729,209.0,122.72101593017578
2022-10-28,0.36003655195236206,0.73422771692276,244.0,123.65860748291016
2022-10-29,0.32183682918548584,0.7244636416435242,201.0,128.56497192382812
2022-10-30,0.2864963710308075,0.6950100660324097,191.0,124.0646743774414
2022-10-31,0.3100135326385498,0.7173120379447937,199.0,127.25321197509766
2022-11-01,0.3543017506599426,0.7427727580070496,244.0,127.91230773925781
2022-11-02,0.3300310969352722,0.7032372355461121,214.0,134.86268615722656
2022-11-03,0.32119038701057434,0.716727077960968,197.0,131.0051727294922
2022-11-04,0.3134261965751648,0.7334825992584229,201.0,127.2353286743164
2022-11-05,0.3276013135910034,0.7579793930053711,207.0,123.11456298828125
2022-11-06,0.29413092136383057,0.7188526391983032,187.0,126.4792251586914
2022-11-07,0.3255198001861572,0.78936767578125,192.0,123.53451538085938
2022-11-08,0.343684583902359,0.8003842830657959,198.0,123.03416442871094
2022-11-09,0.31548872590065,0.7350395917892456,202.0,119.8918685913086
2022-11-10,0.30467721819877625,0.7368874549865723,203.0,118.59745788574219
2022-11-11,0.33149343729019165,0.7374866604804993,211.0,125.25796508789062
2022-11-12,0.33795928955078125,0.7510964870452881,222.0,121.2546157836914
2022-11-13,0.2877277135848999,0.7282878160476685,162.0,128.8699493408203
2022-11-14,0.34384891390800476,0.7624709010124207,215.0,117.48936462402344
2022-11-15,0.3315422236919403,0.7630270719528198,203.0,126.43916320800781
2022-11-16,0.36366432905197144,0.7761023044586182,230.0,116.53343200683594
2022-11-17,0.36061951518058777,0.7406960129737854,233.0,127.81021118164062
2022-11-18,0.3534434735774994,0.7288107872009277,243.0,120.64962768554688
