model,model_label,area_id,area_name,brier_score,probability_oe_ratio,mean_probability,observed_rate
etas_ref,Reference ETAS,05,HARBOR,0.001813786282018202,0.9632340144372833,0.0018978603184223175,0.0018280836482124554
etas_ref,Reference ETAS,18,SOUTHEAST,0.0058775469125270895,0.9374724401407631,0.00632712384685874,0.005931504023107077
etas_ref,Reference ETAS,14,PACIFIC,0.0034682497399458377,0.9672904294033394,0.003655599430203438,0.0035360263522070208
etas_ref,Reference ETAS,12,77TH STREET,0.006156294457748607,0.9337095422804615,0.006677783560007811,0.006235110081752906
etas_ref,Reference ETAS,13,NEWTON,0.007168164110936792,0.9199885981526721,0.007902362383902073,0.007270083605961469
etas_ref,Reference ETAS,03,SOUTHWEST,0.006012362629901836,1.0124832215623194,0.006023268681019545,0.00609845856202553
etas_ref,Reference ETAS,04,HOLLENBECK,0.0036520644741938214,0.9829845596708345,0.0037515580188483,0.0036877235682413246
etas_ref,Reference ETAS,08,WEST LOS ANGELES,0.0010834911543867855,0.9533854558296483,0.0011478493688628078,0.0010943428828487077
etas_ref,Reference ETAS,07,WILSHIRE,0.0055768254754879655,0.9072575004739509,0.006227622274309397,0.0056500571016409205
etas_ref,Reference ETAS,01,CENTRAL,0.016975502856469947,0.9612000928117184,0.01878415420651436,0.018055329976720266
etas_ref,Reference ETAS,20,OLYMPIC,0.011819123810543003,0.9885107006490205,0.012258642353117466,0.012117799190756267
etas_ref,Reference ETAS,02,RAMPART,0.011815885294710766,1.0391438725070723,0.011642773635685444,0.012098516491430218
etas_ref,Reference ETAS,11,NORTHEAST,0.0026098989617423783,0.988095569644474,0.002666734391823411,0.002634988444568947
etas_ref,Reference ETAS,06,HOLLYWOOD,0.004574229323275294,0.9518592054770166,0.004914782475680113,0.0046781809446625544
etas_ref,Reference ETAS,15,NORTH HOLLYWOOD,0.0036080929974158966,0.9786900895606864,0.003740631276741624,0.003660918833425333
etas_ref,Reference ETAS,10,WEST VALLEY,0.0021240964724334372,0.9719456722263764,0.0022072724532335997,0.0021453488600744874
etas_ref,Reference ETAS,09,VAN NUYS,0.004036512812369675,0.9749363722445666,0.004194830544292927,0.00408969276135752
etas_ref,Reference ETAS,21,TOPANGA,0.0016299958543786117,0.879145025060457,0.0018677425105124712,0.0016420165394402035
etas_ref,Reference ETAS,19,MISSION,0.002342043829738915,0.9632450950851374,0.0024553309194743633,0.0023650855206760013
etas_ref,Reference ETAS,16,FOOTHILL,0.001117630634084228,0.9633519803237007,0.001167533453553915,0.001124745650960397
etas_ref,Reference ETAS,17,DEVONSHIRE,0.001362818066678211,0.9303984912023548,0.001477009616792202,0.0013742074729941286
