model,model_label,bin,n,mean_probability,observed_rate,abs_calibration_error
etas_ref,Reference ETAS,0,5221041,0.00011391073413708099,0.0006040940877499334,0.0004901833536128525
etas_ref,Reference ETAS,1,745156,0.002929783085862529,0.003222144087949369,0.0002923610020868399
etas_ref,Reference ETAS,2,745636,0.006539136047145815,0.005605952502293344,0.0009331835448524711
etas_ref,Reference ETAS,3,745604,0.02116378758469653,0.01713644240106008,0.004027345183636451
