model,model_label,frame_index,forecast_date,q,tp,fp,tn,fn,accuracy,recall_tpr,specificity_tnr,precision_ppv,fpr,fnr,f1,balanced_accuracy,mcc
etas_ref,Reference ETAS,0,2020-01-01,0.01,23,547,56224,133,0.988054877298997,0.14743589743589744,0.9903647989290306,0.04035087719298246,0.009635201070969332,0.8525641025641025,0.06336088154269973,0.568900348182464,0.07235451260604017
etas_ref,Reference ETAS,0,2020-01-01,0.05,67,2780,53991,89,0.9496021220159151,0.42948717948717946,0.9510313364217646,0.023533544081489288,0.048968663578235365,0.5705128205128205,0.044622044622044624,0.6902592579544721,0.09126185467452226
etas_ref,Reference ETAS,0,2020-01-01,0.1,94,5599,51172,62,0.9005568535141497,0.6025641025641025,0.901375702383259,0.016511505357456525,0.09862429761674094,0.3974358974358974,0.03214224653786972,0.7519699024736808,0.08781212985678932
etas_ref,Reference ETAS,1,2020-01-15,0.01,30,540,56221,136,0.98812514272665,0.18072289156626506,0.9904864255386621,0.05263157894736842,0.00951357446133789,0.8192771084337349,0.08152173913043478,0.5856046585524636,0.0927246274186396
etas_ref,Reference ETAS,1,2020-01-15,0.05,71,2776,53985,95,0.9495669893020886,0.42771084337349397,0.9510931801765297,0.024938531787846857,0.04890681982347034,0.572289156626506,0.047129107202124126,0.6894020117750118,0.09370905781746441
etas_ref,Reference ETAS,1,2020-01-15,0.1,98,5595,51166,68,0.9005217208003232,0.5903614457831325,0.9014287979422491,0.017214122606709993,0.09857120205775093,0.40963855421686746,0.03345280764635603,0.7458951218626908,0.08839124439292688
etas_ref,Reference ETAS,2,2020-01-29,0.01,29,541,56208,149,0.9878792137298645,0.16292134831460675,0.9904667923663854,0.05087719298245614,0.009533207633614689,0.8370786516853933,0.07754010695187166,0.576694070340496,0.08601407625541045
etas_ref,Reference ETAS,2,2020-01-29,0.05,78,2769,53980,100,0.9496021220159151,0.43820224719101125,0.9512061886553067,0.0273972602739726,0.0487938113446933,0.5617977528089888,0.051570247933884296,0.694704217923159,0.09974299119354532
etas_ref,Reference ETAS,2,2020-01-29,0.1,107,5586,51163,71,0.9006271189418027,0.601123595505618,0.9015665474281486,0.0187950114175303,0.09843345257185149,0.398876404494382,0.03645034917390564,0.7513450714668832,0.09354913005101623
etas_ref,Reference ETAS,3,2020-02-12,0.01,20,550,56220,137,0.9879319128006043,0.12738853503184713,0.9903117843931654,0.03508771929824561,0.009688215606834596,0.8726114649681529,0.055020632737276476,0.5588501597125063,0.06199769648074426
etas_ref,Reference ETAS,3,2020-02-12,0.05,62,2785,53985,95,0.9494088920898694,0.39490445859872614,0.950942399154483,0.021777309448542326,0.049057600845516997,0.6050955414012739,0.041278295605858856,0.6729234288766046,0.08321105579807098
etas_ref,Reference ETAS,3,2020-02-12,0.1,85,5608,51162,72,0.9002230927327981,0.5414012738853503,0.901215430685221,0.01493061654663622,0.09878456931477893,0.4585987261146497,0.029059829059829064,0.7213083522852857,0.07737262830116381
etas_ref,Reference ETAS,4,2020-02-26,0.01,15,555,56209,148,0.9876508510899924,0.09202453987730061,0.9902226763441618,0.02631578947368421,0.009777323655838208,0.9079754601226994,0.04092769440654843,0.5411236081107312,0.044140794337389926
etas_ref,Reference ETAS,4,2020-02-26,0.05,52,2795,53969,111,0.9489521668101253,0.31901840490797545,0.9507610457332112,0.0182648401826484,0.04923895426678881,0.6809815950920245,0.0345514950166113,0.6348897253205933,0.06613434990428685
etas_ref,Reference ETAS,4,2020-02-26,0.1,90,5603,51161,73,0.9002933581604511,0.5521472392638037,0.9012930730744838,0.015808888108203058,0.09870692692551618,0.44785276073619634,0.03073770491803279,0.7267201561691438,0.08076081662616
etas_ref,Reference ETAS,5,2020-03-11,0.01,32,538,56221,136,0.9881602754404764,0.19047619047619047,0.990521327014218,0.056140350877192984,0.009478672985781991,0.8095238095238095,0.08672086720867209,0.5904987587452042,0.09861279439588856
