model,model_label,q,category,metric,mean,std,n,k,note
etas_ref,Reference ETAS,,ranking_at_k,precision_at_k,0.10366412213740457,0.05118903288295903,131,50.0,
etas_ref,Reference ETAS,,ranking_at_k,hit_count_at_k,5.770992366412214,2.986031288146096,131,50.0,
etas_ref,Reference ETAS,,ranking_at_k,precision_at_k,0.08190839694656489,0.03475440212995257,131,100.0,
etas_ref,Reference ETAS,,ranking_at_k,hit_count_at_k,8.916030534351146,3.8511500139347614,131,100.0,
etas_ref,Reference ETAS,,ranking_at_k,precision_at_k,0.0486412213740458,0.014607199859231737,131,500.0,
etas_ref,Reference ETAS,,ranking_at_k,hit_count_at_k,25.81679389312977,8.001732049728655,131,500.0,
etas_ref,Reference ETAS,,count_probability_point_process,mae,0.0061601156521450175,0.0007417839614406504,131,,
etas_ref,Reference ETAS,,count_probability_point_process,rmse,0.05659679522604508,0.006306856372935706,131,,
etas_ref,Reference ETAS,,count_probability_point_process,poisson_deviance,0.03267222487087044,0.0054271592933804545,131,,
etas_ref,Reference ETAS,,count_probability_point_process,rmsle,0.038532966295970285,0.0040574783522449665,131,,
etas_ref,Reference ETAS,,count_probability_point_process,mase,1.04477684706846,0.039345329198909484,131,,
etas_ref,Reference ETAS,,count_probability_point_process,r2,0.011940032495960953,0.012272993196926813,131,,
etas_ref,Reference ETAS,,count_probability_point_process,pearson,0.11776522607619307,0.02188888711629401,131,,
etas_ref,Reference ETAS,,count_probability_point_process,spearman,0.07781878962744049,0.008581064934908712,131,,
etas_ref,Reference ETAS,,count_probability_point_process,residual_morans_i,0.0023822773067171464,0.006017165545929393,131,,
etas_ref,Reference ETAS,,count_probability_point_process,brier_score,0.0029703753227855005,0.0005498329448277174,131,,
etas_ref,Reference ETAS,,count_probability_point_process,log_loss,0.01890604107426537,0.003141834462278661,131,,
etas_ref,Reference ETAS,,count_probability_point_process,probability_oe_ratio,0.957326431326969,0.15786447996899644,131,,
etas_ref,Reference ETAS,,count_probability_point_process,count_oe_ratio,0.9727085075114603,0.16204764270338717,131,,
etas_ref,Reference ETAS,,count_probability_point_process,roc_auc,0.8456930817681798,0.02050549773084155,131,,
etas_ref,Reference ETAS,,count_probability_point_process,pr_auc_average_precision,0.03157302835442947,0.010549309181237958,131,,
etas_ref,Reference ETAS,,count_probability_point_process,poisson_log_likelihood_per_event,-6.3128778646598525,0.6019974898424029,131,,
etas_ref,Reference ETAS,,count_probability_point_process,centroid_distance_m,1203.1034079227918,722.1734966883681,131,,
etas_ref,Reference ETAS,0.01,hotspot_persistence,rri,1.0325471568974167,0.30471813499707,130,,
etas_ref,Reference ETAS,0.02,hotspot_persistence,rri,1.0145906866830667,0.21786109756140268,130,,
etas_ref,Reference ETAS,0.03,hotspot_persistence,rri,1.0089519773074869,0.18573591259693462,130,,
etas_ref,Reference ETAS,0.04,hotspot_persistence,rri,1.0048306677059518,0.15587723737602316,130,,
etas_ref,Reference ETAS,0.05,hotspot_persistence,rri,1.0047816439129873,0.14111922988663717,130,,
etas_ref,Reference ETAS,0.06,hotspot_persistence,rri,1.0063405177436622,0.12515230481578485,130,,
etas_ref,Reference ETAS,0.07,hotspot_persistence,rri,1.006675232724688,0.12676810690383492,130,,
etas_ref,Reference ETAS,0.08,hotspot_persistence,rri,1.0032637564706586,0.11650963689226682,130,,
etas_ref,Reference ETAS,0.09,hotspot_persistence,rri,1.003190253372608,0.10492543097560975,130,,
etas_ref,Reference ETAS,0.1,hotspot_persistence,rri,1.0015225470077274,0.10415500308173867,130,,
etas_ref,Reference ETAS,0.01,area_proxy_fairness,allocation_share_gap,0.1399491094147583,0.03669501186024148,131,,
etas_ref,Reference ETAS,0.01,area_proxy_fairness,allocation_to_crime_ratio_gap,3.7664392442225716,2.1056151988509137,131,,
etas_ref,Reference ETAS,0.01,area_proxy_fairness,subgroup_fpr_gap,0.1479469979468208,0.03191122236424846,131,,
etas_ref,Reference ETAS,0.01,area_proxy_fairness,subgroup_fnr_gap,0.6154920027585048,0.16312264802012072,131,,
etas_ref,Reference ETAS,0.01,area_proxy_fairness,allocation_gini_frame,0.9899871765594535,2.228969865810219e-16,131,,
etas_ref,Reference ETAS,0.05,area_proxy_fairness,allocation_share_gap,0.04641017597202895,0.008515880915831206,131,,
etas_ref,Reference ETAS,0.05,area_proxy_fairness,allocation_to_crime_ratio_gap,2.9178631129443158,1.7558082766509149,131,,
etas_ref,Reference ETAS,0.05,area_proxy_fairness,subgroup_fpr_gap,0.3116587548562307,0.036166510650332204,131,,
etas_ref,Reference ETAS,0.05,area_proxy_fairness,subgroup_fnr_gap,0.8645112850029779,0.12369523877006015,131,,
