model,model_label,frame_index,forecast_date,q,allocation_share_gap,allocation_to_crime_ratio_gap,subgroup_fpr_gap,subgroup_fnr_gap,allocation_gini_frame
etas_ref,Reference ETAS,0,2020-01-01,0.01,0.0912280701754386,2.1759649122807017,0.09638320388260395,0.5,0.9899871765594532
etas_ref,Reference ETAS,0,2020-01-01,0.05,0.04460835967685283,2.0996370448425243,0.2753882157344113,1.0,0.9499885818680063
etas_ref,Reference ETAS,0,2020-01-01,0.1,0.03794133145968734,1.4663036477545524,0.3873796657127685,0.8,0.8999947300929261
etas_ref,Reference ETAS,1,2020-01-15,0.01,0.08947368421052632,3.45421888053467,0.10051457530071053,0.4444444444444444,0.9899871765594532
etas_ref,Reference ETAS,1,2020-01-15,0.05,0.045310853530031614,3.3233060698814127,0.27851561351604504,0.5238095238095237,0.9499885818680063
etas_ref,Reference ETAS,1,2020-01-15,0.1,0.03846829439662744,2.3905380877100537,0.399142562972971,0.6666666666666667,0.8999947300929261
etas_ref,Reference ETAS,2,2020-01-29,0.01,0.09473684210526316,3.1403508771929824,0.10703144677189153,0.625,0.9899871765594532
etas_ref,Reference ETAS,2,2020-01-29,0.05,0.04847207586933615,1.8154636459430977,0.2800469097141136,0.775,0.9499885818680063
etas_ref,Reference ETAS,2,2020-01-29,0.1,0.03881960302125417,1.108334797119269,0.40232098444042047,0.875,0.8999947300929261
etas_ref,Reference ETAS,3,2020-02-12,0.01,0.09649122807017543,3.533333333333333,0.10309082717635465,0.5555555555555556,0.9899871765594532
etas_ref,Reference ETAS,3,2020-02-12,0.05,0.048120828942746746,2.5922901299613628,0.27213829839735476,1.0,0.9499885818680063
etas_ref,Reference ETAS,3,2020-02-12,0.1,0.039873528895134375,2.508958369927982,0.387481950938392,1.0,0.8999947300929261
etas_ref,Reference ETAS,4,2020-02-26,0.01,0.10175438596491229,14.007756232686981,0.11227413674297528,0.4444444444444444,0.9899871765594532
etas_ref,Reference ETAS,4,2020-02-26,0.05,0.048823322795925536,8.60296156619156,0.2768110532628946,1.0,0.9499885818680063
etas_ref,Reference ETAS,4,2020-02-26,0.1,0.03671175127349377,6.788835781707916,0.3895748794119899,0.8461538461538461,0.8999947300929261
etas_ref,Reference ETAS,5,2020-03-11,0.01,0.10350877192982456,2.414285714285714,0.11007449851646534,0.7142857142857143,0.9899871765594532
etas_ref,Reference ETAS,5,2020-03-11,0.05,0.04776958201615736,1.70958904109589,0.28048426730444337,0.7142857142857142,0.9499885818680063
etas_ref,Reference ETAS,5,2020-03-11,0.1,0.03565782539961357,1.6940570291000645,0.39356134231115647,0.8571428571428571,0.8999947300929261
etas_ref,Reference ETAS,6,2020-03-25,0.01,0.10701754385964912,3.1349122807017546,0.11858439138891318,0.4,0.9899871765594532
etas_ref,Reference ETAS,6,2020-03-25,0.05,0.045662100456621,2.575096592904812,0.2935605288546465,0.8333333333333334,0.9499885818680063
etas_ref,Reference ETAS,6,2020-03-25,0.1,0.03390128227647988,2.25433866151414,0.3943619511334969,1.0,0.8999947300929261
etas_ref,Reference ETAS,7,2020-04-08,0.01,0.10526315789473684,2.663826232247285,0.1114500014649439,0.8333333333333334,0.9899871765594532
etas_ref,Reference ETAS,7,2020-04-08,0.05,0.044257112750263436,1.7401650860554967,0.2941094519801918,0.8333333333333334,0.9499885818680063
etas_ref,Reference ETAS,7,2020-04-08,0.1,0.03425259090110662,1.664134316997482,0.3913642868903327,1.0,0.8999947300929261
etas_ref,Reference ETAS,8,2020-04-22,0.01,0.11052631578947368,3.5058479532163744,0.11703790428419371,0.7142857142857143,0.9899871765594532
etas_ref,Reference ETAS,8,2020-04-22,0.05,0.04214963119072708,2.486577349591048,0.28406507103443046,0.9090909090909091,0.9499885818680063
etas_ref,Reference ETAS,8,2020-04-22,0.1,0.03565782539961357,2.5546410378660513,0.38420742225012633,0.8,0.8999947300929261
etas_ref,Reference ETAS,9,2020-05-06,0.01,0.10526315789473684,2.4867167919799495,0.11344829632566661,0.5714285714285714,0.9899871765594532
etas_ref,Reference ETAS,9,2020-05-06,0.05,0.04250087811731648,2.394701189221737,0.28945353388610107,0.7142857142857143,0.9499885818680063
etas_ref,Reference ETAS,9,2020-05-06,0.1,0.0360091340242403,2.659874699923883,0.3843901263076425,1.0,0.8999947300929261
etas_ref,Reference ETAS,10,2020-05-20,0.01,0.09999999999999999,14.115789473684211,0.10500722973880368,0.6666666666666667,0.9899871765594532
etas_ref,Reference ETAS,10,2020-05-20,0.05,0.04004214963119074,9.687565858798736,0.2367542860908203,1.0,0.9499885818680063
etas_ref,Reference ETAS,10,2020-05-20,0.1,0.03477955383804673,7.282364307043737,0.387407867817523,0.7777777777777778,0.8999947300929261
etas_ref,Reference ETAS,11,2020-06-03,0.01,0.09999999999999999,8.293859649122806,0.11100972587198309,0.4444444444444444,0.9899871765594532
etas_ref,Reference ETAS,11,2020-06-03,0.05,0.04004214963119074,3.5025172696405575,0.2406601716010838,0.6349206349206349,0.9499885818680063
etas_ref,Reference ETAS,11,2020-06-03,0.1,0.035833479711926935,2.820203173487909,0.3947085996186503,0.8333333333333334,0.8999947300929261
etas_ref,Reference ETAS,12,2020-06-17,0.01,0.10175438596491228,2.6459899749373434,0.11025822333961868,0.4444444444444444,0.9899871765594532
etas_ref,Reference ETAS,12,2020-06-17,0.05,0.036880927291886204,2.4541915466573005,0.2519650592454975,0.4642857142857143,0.9499885818680063
etas_ref,Reference ETAS,12,2020-06-17,0.1,0.032320393465659576,2.47216554743342,0.4004826880246566,0.5238095238095237,0.8999947300929261
etas_ref,Reference ETAS,13,2020-07-01,0.01,0.10350877192982456,3.3689075630252097,0.1118320392457318,0.5714285714285714,0.9899871765594532
etas_ref,Reference ETAS,13,2020-07-01,0.05,0.0365296803652968,1.8760787068603348,0.24654224105664496,0.7272727272727273,0.9499885818680063
