model,model_label,frame_index,forecast_date,mae,rmse,poisson_deviance,rmsle,mase,r2,pearson,spearman,residual_morans_i,brier_score,log_loss,probability_oe_ratio,count_oe_ratio,roc_auc,pr_auc_average_precision,poisson_log_likelihood,poisson_log_likelihood_per_event,centroid_distance_m,predicted_events,actual_events
etas_ref,Reference ETAS,0,2020-01-01,0.0055730520264217894,0.05296424407414809,0.029642504806207018,0.03650027880265471,1.0054820929944213,0.011569703284912358,0.11096983346821047,0.07592745919416881,-0.0008962911031656852,0.0027001216381690846,0.017361188229031706,0.9551528808422911,0.957121046688464,0.8462278614623121,0.026340518922669545,-1000.3431411903534,-6.331285703736414,1223.5826642902205,165.07838851382803,158.0
etas_ref,Reference ETAS,1,2020-01-15,0.005816189181077247,0.057294243472746385,0.030602486010323515,0.03824107081769042,1.002005910021832,0.01892097905007395,0.1379976475406375,0.08061211803777095,-0.0014799222339184224,0.002856581077493374,0.01773317736329109,1.016410873554227,1.0480238422041728,0.8580390871638277,0.04069391293098592,-1038.9662642196108,-6.005585342309889,482.6526753567725,165.07258044449782,173.0
etas_ref,Reference ETAS,2,2020-01-29,0.0059286600238978495,0.055936259445409885,0.03276934793513224,0.03870583212455968,1.0033008016023965,0.012859056728493856,0.11471685649743703,0.08170130899049692,0.0007048118842891804,0.0030758999192972546,0.019396947854508077,1.0907550422326968,1.0851099857979525,0.8486721837003117,0.028106296092184686,-1111.0371877710763,-6.206911663525566,1330.3701238512267,164.96023660529636,179.0
etas_ref,Reference ETAS,3,2020-02-12,0.005590740979301383,0.0531194390268011,0.02991319697945729,0.036622458490830706,1.004819236390619,0.011850836476985704,0.11204969755678565,0.07530532926014932,0.0030910751891511518,0.0027202029487648953,0.017569227362368732,0.9619800317172267,0.9637825433875078,0.8441308599118805,0.025817024838879075,-1009.0479878636627,-6.346213760148822,2186.3145532126746,164.97497396160134,159.0
etas_ref,Reference ETAS,4,2020-02-26,0.005763074918354827,0.05567639175208778,0.031349323092294594,0.03793262001554375,1.0041926121662594,0.005850243588981341,0.08834752427417733,0.07785104773096814,-0.007050558172342377,0.0028362262589323845,0.018014448275190286,0.9976677852412518,1.017244675156742,0.8471995017147735,0.019444857442923638,-1056.8457219347274,-6.290748344849568,2946.9918950869287,165.1520072829221,168.0
etas_ref,Reference ETAS,5,2020-03-11,0.005748549272899931,0.05427316865751819,0.032028332721130606,0.037534581930384045,1.0035945330492593,0.01651297954300668,0.12867480137667073,0.07726955192307414,0.0021424422598988425,0.0028930750354911237,0.018836479717218444,1.0282777000183068,1.0233119697224808,0.8412700335335954,0.03529074789922036,-1079.9453012273411,-6.3902088830020185,298.3655649246948,165.1500275579033,169.0
etas_ref,Reference ETAS,6,2020-03-25,0.005739719020121304,0.05546847566175947,0.033242665352905,0.03778073011644206,1.0047816711541508,0.007704050124404893,0.09551584129210137,0.07206197835492267,0.003616390762834232,0.0028152371196078284,0.01902135850728939,0.9922296660761153,1.0118453753137089,0.8224044223912101,0.022126754966232145,-1109.7368693696117,-6.645130954309052,946.9423472918381,165.044980265116,167.0
etas_ref,Reference ETAS,7,2020-04-08,0.005438819428023068,0.05235026459540577,0.030348900838108893,0.03579377595033287,1.0058627234943063,0.0038229222686845254,0.08429845675428674,0.06747555886323342,0.004253712720569438,0.002531141328904241,0.01739511109004495,0.8880855603170864,0.9027681962874731,0.8207891889003192,0.016551801267208382,-1010.0633502832728,-6.778948659619281,1580.4147958634,165.04790555620457,149.0
etas_ref,Reference ETAS,8,2020-04-22,0.005711698322250116,0.054454520430036006,0.031056976892283695,0.03738072006594521,1.0062634770103744,0.01006568993840573,0.10483128183325545,0.07698227677718222,0.00202623529231283,0.002808036744227126,0.018089584400951465,0.9873255395300736,0.9948582113871022,0.8449637502677814,0.024647067104410746,-1046.910820231837,-6.344914062011134,356.7142940897649,165.8527799352887,165.0
etas_ref,Reference ETAS,9,2020-05-06,0.005698307163303349,0.05465799598727823,0.030165413513720107,0.03736683217946002,1.0068564455814657,0.008501961879647024,0.09891308803536841,0.07873000887227911,-0.004118700543055305,0.0027775046219811095,0.017519173237615072,0.9753776747619126,0.9890874669842789,0.85678414615886,0.02426796915165178,-1019.8406588255325,-6.21854060259471,393.8548766143644,165.80940055790506,164.0
etas_ref,Reference ETAS,10,2020-05-20,0.006152239690078176,0.058427737831087546,0.03433958702856477,0.039988573077093,1.0093615234183029,0.01036340750013165,0.10440223255916223,0.08282794250783697,0.005019481106628254,0.003204777576031216,0.019935353014689763,1.1170949389334823,1.1290221182377713,0.8479226979967175,0.025265074311739896,-1163.6522466653137,-6.156890193996369,741.2933659023167,167.40150343112828,189.0
etas_ref,Reference ETAS,11,2020-06-03,0.005574125511378967,0.05223473414868762,0.031000803917766072,0.0362111840002102,1.011477934273891,0.00801199346659287,0.09918971085676687,0.0704260346710717,0.009303361104634728,0.002678414275544693,0.018137048736538767,0.9297969621685942,0.9258216736077163,0.8258473423780877,0.02021090552528418,-1036.6982351327747,-6.6883757105340305,1440.9082016470675,167.41885010749456,155.0
etas_ref,Reference ETAS,12,2020-06-17,0.006457112657082681,0.06094649192198474,0.03627244609114336,0.04151608260905901,1.015255072613592,0.013104822401678429,0.1151843599388707,0.08795159293279052,0.031656471022361424,0.0034700023040264804,0.02129621651822714,1.1970600254923904,1.207616153945774,0.8551613560726494,0.028616978221267644,-1234.5503975573624,-6.022197061255427,1351.1318057977944,169.75592727058302,205.0
etas_ref,Reference ETAS,13,2020-07-01,0.006579897944178242,0.06223070173626194,0.04497682582217707,0.04237081306662592,1.016447889431177,0.007915647652054658,0.09369503241641504,0.06959027486073752,0.006280127261818193,0.0035579157694403066,0.0253566480366264,1.2209659755890372,1.2430596219238192,0.7803547210571714,0.02254964488501339,-1487.0389987061772,-7.0475781929202705,256.2752752099443,169.74246148663906,211.0
etas_ref,Reference ETAS,14,2020-07-15,0.006032159705367675,0.05671694047371336,0.035478832080614815,0.03882558075455692,1.0231479069553386,0.007190279527216625,0.09344464099615919,0.0728607892457308,0.008897850057477482,0.003006310326882052,0.020132558158833462,1.0169913887441762,1.0292834001761122,0.8187337665181502,0.020896971644359483,-1184.07914820434,-6.6897127017194356,3137.7185137805523,171.96430057039197,177.0
etas_ref,Reference ETAS,15,2020-07-29,0.005758111286599739,0.05359598339692421,0.033011787932301535,0.03699566309372458,1.024178232384343,0.0062000141960300015,0.09234651311579153,0.06803218406279894,0.00603627226196518,0.0027670833465211243,0.01907930855801753,0.9344604587080099,0.9360126517370952,0.812308444654797,0.025897375276923557,-1099.244731449945,-6.82760702763941,1312.8025175367868,172.00622203258558,161.0
etas_ref,Reference ETAS,16,2020-08-12,0.00566046499519579,0.05325198306079069,0.03129006086010461,0.03634563308842412,1.0270392733323883,0.0070481804682736016,0.09540501079416946,0.06854383666746454,0.0031189813484475714,0.0026431182766329165,0.018013796113785993,0.8908575325356126,0.8987731861985329,0.8209388398340632,0.027236681439378393,-1043.4274227142514,-6.731789823962912,306.16312790822127,172.45730333321444,155.0
etas_ref,Reference ETAS,17,2020-08-26,0.0058665739002259285,0.05547813648134007,0.033207974467740625,0.037793186624641074,1.0248983914763545,0.007358368118613345,0.09460795025107892,0.07112288845377121,0.0020124757286226315,0.0028150970252239157,0.018703917542541644,0.9499070389879286,0.9688311069090373,0.8243155939638513,0.021222122739115595,-1108.7494453597355,-6.639218235687039,558.4056513211658,172.37266517256808,167.0
etas_ref,Reference ETAS,18,2020-09-09,0.005451476752472497,0.05104851365816826,0.029805554117196636,0.03507882116301656,1.027610821696137,0.001963306427033684,0.07992482018261136,0.06287855730272142,0.016065303680786906,0.0024481234105295548,0.01709363587143892,0.8246386432346254,0.8334280792421153,0.8071773846629888,0.017921296084989557,-989.2909480731465,-6.918118517994031,1713.5867720939223,171.58049214041148,143.0
etas_ref,Reference ETAS,19,2020-09-23,0.005588605612454745,0.05303836617380785,0.030759593727768673,0.036049786728535434,1.0261230888608377,0.002863839826594994,0.08019150522742267,0.06568793829636241,0.0012318231220385123,0.0025679809232289014,0.017572354343425075,0.8660930425114288,0.8803488328773491,0.8148162857957554,0.016493520270818122,-1023.6353243124477,-6.779041882863892,321.96976022573466,171.5229172355107,151.0
etas_ref,Reference ETAS,20,2020-10-07,0.005559119442088828,0.05188869312976521,0.028531939402691907,0.03578694942899612,1.0211059361288415,0.008584365161471208,0.10102123765445507,0.07319440089188328,0.00748318288007255,0.0025886573356511226,0.016712527779915238,0.8823263697526142,0.8849401937428893,0.8467007733641044,0.023283571653384974,-961.7325628274011,-6.369089820049014,692.8006997154491,170.63299991080703,151.0
etas_ref,Reference ETAS,21,2020-10-21,0.0059582200123168266,0.0573849979691811,0.032604445193172814,0.038644527435754104,1.018917885186737,0.010584296599208454,0.10521575071763675,0.07615267459611294,-0.0005977412048256147,0.002881279856775839,0.018475432509387893,0.9826525815699209,1.0193646502736453,0.8434980916601698,0.022354888491319495,-1096.4914483113948,-6.301674990295373,1881.288228657852,170.69455955068702,174.0
etas_ref,Reference ETAS,22,2020-11-04,0.005797789005780496,0.054546453200617954,0.03196243192238482,0.03747562804716462,1.0184909048549984,0.006720357919609676,0.09214641907630584,0.07314608066576891,-0.002649113752705928,0.002818948004289691,0.018579318777758577,0.9623298437111215,0.9699881090618421,0.8324744751210591,0.019933418633816136,-1072.6832394811204,-6.501110542309821,674.1511315321119,170.10517805170366,165.0
etas_ref,Reference ETAS,23,2020-11-18,0.006229695767037705,0.06029754390843211,0.035945139062885254,0.040375810205704486,1.0186800391988344,0.011420299596021977,0.10780256917530288,0.07591519194336294,-5.698136590289849e-05,0.0031462234484221268,0.02054561079048536,1.0754251789561131,1.1172499469712482,0.8279969303942958,0.024441384779769988,-1206.7683580557384,-6.351412410819676,1085.9106523328037,170.06042427217903,190.0
etas_ref,Reference ETAS,24,2020-12-02,0.006208836210155762,0.05938386651507504,0.035867537988481295,0.04003367526114028,1.013688817824027,0.017661585396146706,0.13350705586924147,0.07816307851293514,0.0004786406260023194,0.003200487833041478,0.020821054508543043,1.1065230390186933,1.1245097983064494,0.8316179364715698,0.03785198556910809,-1208.2143655610248,-6.325729662623167,145.45507629832719,169.8517881192788,191.0
etas_ref,Reference ETAS,25,2020-12-16,0.005804224895741817,0.05688701562687457,0.030749050436618425,0.03777666091536951,1.0175356256719812,0.006967724495536065,0.09119680516835019,0.07659405126641962,0.004020889730311599,0.002764417033174212,0.01743729233101043,0.9476871323681231,0.9792267128238485,0.8529736834641537,0.01967456141580955,-1036.0858847663171,-6.24148123353203,1201.8451533316074,169.52151920089773,166.0
etas_ref,Reference ETAS,26,2020-12-30,0.005784311747809722,0.05645212223413977,0.030110590251505934,0.0378057511110184,1.0128011732878963,0.011435415123429826,0.10872080246887912,0.07624075647540965,0.008585303732622562,0.002722020401983222,0.017143038842174604,0.9396650811878496,0.9833122807956918,0.8515069186313308,0.024142167792082114,-1016.8144609986998,-6.125388319269276,189.10645539826206,168.81717358973037,166.0
etas_ref,Reference ETAS,27,2021-01-13,0.005862737650207975,0.054689959899269704,0.03293040126514634,0.03788840598204776,1.0161283080906058,0.007138202497621093,0.09319452210291665,0.07368285782815036,0.006847308382122631,0.0029373315839583613,0.019179042560471683,1.0103944802419231,1.0059560707141575,0.8290999199132787,0.019969515719745395,-1106.621329229933,-6.5095372307643125,2350.8370758071683,168.99346298423552,170.0
etas_ref,Reference ETAS,28,2021-01-27,0.005434377030781331,0.05134461165787281,0.027494917470410822,0.03505668205462004,1.0183561953156643,0.01674482395345922,0.13028194854281894,0.0714057394976916,0.0006032645351171446,0.0024411084292995837,0.016005417648106583,0.8381752421023001,0.8529139013284429,0.8475133592262403,0.03160057370570102,-924.8289946967985,-6.378130997908955,807.6931982181791,170.0054363918298,145.0
etas_ref,Reference ETAS,29,2021-02-10,0.006121512404760682,0.05754092900893257,0.033909589731521285,0.03948555380387386,1.01253935321385,0.015200922602094935,0.12342828505728064,0.08043695420752085,-0.00013316370678703512,0.0031552236111342937,0.01990987607904929,1.091370361345789,1.0977796627509613,0.8453119234001966,0.03445124811837087,-1149.1061657814762,-6.177990138610087,1901.145377219196,169.43290745056856,186.0
etas_ref,Reference ETAS,30,2021-02-24,0.005970148904395563,0.05635336846827869,0.034193922211678426,0.03855623407207059,1.0181772724953502,0.009201008683917822,0.10068538027137194,0.07291149589821083,-0.0016318509542444515,0.0029671254463045785,0.01975961900306401,1.0131650479665475,1.0259201014464039,0.821701103605915,0.024797848668582194,-1145.506116149869,-6.545749235142109,428.51436322626375,170.57858575270575,175.0
etas_ref,Reference ETAS,31,2021-03-10,0.005987628854081713,0.05770913024398072,0.03248176237918021,0.038871048544701685,1.0190400873633774,0.009764067313867586,0.10206610428323885,0.07723745034808854,0.0019112188006872013,0.0029151657556819944,0.01841822042402479,0.9958298262835487,1.0323153731423078,0.8455647163990776,0.02304400807861456,-1094.9994660353163,-6.221587875200661,2130.3413969053736,170.49053475224946,176.0
etas_ref,Reference ETAS,32,2021-03-24,0.0056224169607319565,0.052726312878969964,0.030333192198014308,0.03620458990538412,1.023008911585323,0.008288387189082647,0.1002259357852685,0.07078413279261368,-0.0006890071736921637,0.002623221537556115,0.017426550030765677,0.8904532282917299,0.8984319657501478,0.8322576137478107,0.02301488519398446,-1015.3093745865003,-6.592918016795457,1769.2952452813777,171.4097515123667,154.0
etas_ref,Reference ETAS,33,2021-04-07,0.0054019242954230365,0.05034578218919737,0.02887119953896619,0.03471615681369752,1.0229149399783752,0.009290012414806648,0.10545220641029998,0.06611936408104693,0.014333113822863435,0.002429880805947421,0.016707524373153426,0.8282907472282491,0.8312511086185881,0.82356047284464,0.029133920638651584,-962.3890937162441,-6.777387983917213,691.1944165781738,170.8268398414316,142.0
etas_ref,Reference ETAS,34,2021-04-21,0.0058108225326904675,0.055341706164596265,0.03026476050168537,0.03769881388917515,1.0185410902371652,0.006639657540328248,0.09179579510393499,0.07938953376309814,-0.0004252771486461285,0.0028001804339447176,0.017369268163461234,0.9573933310476018,0.9766494274492314,0.860130057730734,0.019245627887671597,-1023.9752746369217,-6.16852575082483,1809.5847773057956,169.9688704405953,166.0
etas_ref,Reference ETAS,35,2021-05-05,0.00590836732807818,0.05616746323170468,0.035597523580837995,0.03829428526754743,1.0192883762921192,0.004953048513057667,0.08490533827607148,0.06673076959887542,0.011436655872866856,0.002892171478651625,0.020136078897559723,0.9851662924317871,1.0040558077706099,0.7994423563778201,0.01751834476157841,-1180.7643765403823,-6.905054833569487,562.5871855655558,170.30925838642952,171.0
etas_ref,Reference ETAS,36,2021-05-19,0.005584284745930294,0.053056958871569575,0.030150259212006682,0.036259114272280804,1.0158875307146011,0.00824072192330072,0.09971427175059061,0.07019228218579202,0.0032706601092338076,0.0026053839602972863,0.017329731529973483,0.8960798742208678,0.9100728020063226,0.8287643470654197,0.02225443670125789,-1009.4093143587123,-6.554605937394236,362.52716607908377,169.2172314791692,154.0
etas_ref,Reference ETAS,37,2021-06-02,0.005435989310198132,0.0515098117564312,0.029398508014602906,0.035191085863928405,1.0155022354349834,0.010407443639709912,0.10853943192181889,0.06630060444790033,0.007365127927596962,0.0024494813306728553,0.016891033646828483,0.8398471310505858,0.854400384470879,0.8218855386641348,0.03437519585739439,-979.0118441514101,-6.751805821733862,1539.1411253664521,169.7096614601794,145.0
etas_ref,Reference ETAS,38,2021-06-16,0.00570086392139969,0.05521461089073613,0.031077092068011798,0.03726732618581377,1.0115708177920617,0.011326854803173969,0.10936875075060566,0.07356770864978482,-0.002981464487540423,0.0026877744279227146,0.017585557912466958,0.9317200469662225,0.96332560850573,0.8378219158467486,0.02635824360419425,-1041.710779813934,-6.430313455641569,985.3786845588677,168.16743847522912,162.0
etas_ref,Reference ETAS,39,2021-06-30,0.006353744588575197,0.060410253353067024,0.037456476511558395,0.04113901981059026,1.0090945802620825,0.012083206977808625,0.11087688509174659,0.08369503564757268,0.011188010350717537,0.0034035494461414234,0.02160456874104019,1.1885102415301148,1.1997799954993322,0.8427467449786638,0.027991302114083738,-1264.2520474288463,-6.289811181238041,1761.7957321954927,167.5307145926754,201.0
etas_ref,Reference ETAS,40,2021-07-14,0.006038969492514484,0.05842904013080095,0.03454769270116731,0.03946583464501545,1.0073981640588434,0.010516852941401145,0.10503128720635219,0.08061581736711115,0.004552141017111054,0.003066270193223292,0.01945733939913599,1.0724729159779978,1.096833316896353,0.8460399213519499,0.024358314716772998,-1162.0715850806596,-6.350117951260435,2242.8904414601298,166.84394718955537,183.0
