epoch,train_nll,validation_nll
1,0.6397087956264688,0.6266028328252032
2,0.5545671532604187,0.5902566586212737
3,0.5391468321044218,0.5783184070121952
4,0.5311171957630847,0.5718769584180217
5,0.5261577172982108,0.5677754488482385
6,0.5229713580719249,0.5652909044715447
7,0.5207314056483366,0.5637881097560976
8,0.518994372104682,0.5622291560806233
9,0.517469790754462,0.5606664443597561
10,0.5161773559266936,0.5591993775406504
11,0.5150916688531846,0.5581406144139567
12,0.5141694576503821,0.5574029259823848
13,0.5134804643980129,0.5565057588075881
14,0.5127061856706878,0.5556469131097561
15,0.5121158927736021,0.5553959180216802
16,0.5115512805294904,0.5547904492716802
17,0.5111277489987217,0.5544658282520325
18,0.5108510776420743,0.5542744325880758
19,0.5102794275058001,0.5539315506436314
20,0.5101245709046813,0.5535745892615176
21,0.509865042193221,0.5533984904302168
22,0.5095297313845317,0.5532621951219512
23,0.5092685119023266,0.5532585958672087
24,0.5090648493814377,0.5532340362466125
25,0.5089872671960899,0.552969543953252
26,0.5087700968817506,0.5530909129403794
27,0.508635808908147,0.5529283113143632
28,0.5085017458221466,0.5527974678184282
29,0.5083687419368852,0.5528675474254743
30,0.5083199654143944,0.5524101774220868
31,0.5082092786650416,0.5524942306063686
32,0.5081175209661278,0.5526739816226287
33,0.507884565711553,0.552433096205962
34,0.5079112283665553,0.5520948721205962
35,0.5077139251068611,0.5520470232046071
36,0.5077494352480033,0.5518291624322493
37,0.507517917555187,0.5518987127371273
38,0.5074835788244197,0.5519519605352303
39,0.5073520626503334,0.5517746972391598
40,0.5072666050952872,0.5521845888380759
41,0.507251685719805,0.5519443385840108
42,0.5071850342592582,0.5523141090785908
43,0.5070662988639734,0.5520182291666667
44,0.507026563305388,0.5521599762872629
45,0.5069661027282938,0.5515562542344173
46,0.5069546396374374,0.5518782287432249
47,0.5068240341524533,0.5515655699525746
48,0.5067955635869343,0.5515626058604336
49,0.5067498775823629,0.551546726795393
50,0.5067647581876121,0.5515006245765582
51,0.5067304258742488,0.5512649263211382
52,0.5065904331956605,0.5513220909552845
53,0.5065575015091749,0.5515613355352303
54,0.5065141980322487,0.5515439214939024
55,0.5065261402006589,0.5516353319783198
56,0.5064684730802379,0.551308064447832
57,0.5064566048955077,0.55132034425813
58,0.506430926229777,0.5512911267784553
59,0.506332297364626,0.5519328527269648
60,0.5063522847804023,0.5515391048441735
61,0.5062652596573739,0.551189553692412
62,0.5062842273134972,0.551047753641599
63,0.5062547692145782,0.551371739498645
64,0.5062167561720019,0.5513977811653117
65,0.5061647280889298,0.5510979844173441
66,0.5061401001560027,0.5514135543699187
67,0.5060804844864566,0.5512495236280488
68,0.5061507926014585,0.5509858252879404
69,0.506077069566872,0.5515786966463415
70,0.5060965662601015,0.5508783769478319
71,0.5060278603695942,0.5515401634485095
72,0.5059645487184256,0.5508892276422764
73,0.5059237709392734,0.5513214557926829
74,0.5059470606979278,0.5507923653455284
75,0.5059289220767205,0.5512608506944444
76,0.5058778644266289,0.5509645473407859
77,0.5058204510025118,0.5511272548272358
78,0.5058187035067265,0.5511681169546071
79,0.5058068172406127,0.5508657266260163
80,0.5057847977165559,0.5507995109247967
81,0.505766377539664,0.5507612423780488
82,0.5058318050354751,0.5509282901422764
83,0.505738498065142,0.5509113524728997
84,0.5057249140855891,0.550987783705962
85,0.5056759704701028,0.5513183858401084
86,0.5057379418964674,0.5508036924119242
87,0.5056776465643589,0.550895473407859
88,0.5056529394328202,0.5510561695460705
89,0.505580614632825,0.5512029450372629
90,0.5056078775619139,0.5510352091802168
91,0.5055477690306862,0.5511460450542005
92,0.505612377377168,0.5511923060636856
93,0.5055365510922527,0.5510551109417344
