forecast_date,mae,picp,mpiw,occurrence_f1,true_zero_rate,observed_events,predicted_events
2023-01-20,0.35078030824661255,0.9528455284552846,0.8910568952560425,0.6153846153846154,0.8968421052631579,234.0,211.6087188720703
2023-01-21,0.33971455693244934,0.9642276422764228,0.8796747922897339,0.5622489959839357,0.8861788617886179,196.0,208.65475463867188
2023-01-22,0.34567418694496155,0.967479674796748,0.8666666746139526,0.5232067510548524,0.8764940239043825,174.0,203.69094848632812
2023-01-23,0.36859750747680664,0.9528455284552846,0.869918704032898,0.5846153846153846,0.8923395445134575,228.0,201.30496215820312
2023-01-24,0.3470616936683655,0.9642276422764228,0.8813008069992065,0.5736434108527132,0.8886597938144329,205.0,205.95468139648438
2023-01-25,0.37378811836242676,0.959349593495935,0.8878048658370972,0.5736434108527132,0.8868312757201646,224.0,211.7687530517578
2023-01-26,0.3343577980995178,0.9544715447154472,0.8829268217086792,0.5925925925925926,0.8947368421052632,224.0,208.98599243164062
2023-01-27,0.39471742510795593,0.9382113821138212,0.9170731902122498,0.6099290780141844,0.8972162740899358,257.0,216.0445556640625
2023-01-28,0.34074586629867554,0.9642276422764228,0.8829268217086792,0.5491803278688525,0.8777555110220441,193.0,210.35321044921875
2023-01-29,0.31742778420448303,0.9707317073170731,0.8829268217086792,0.5477178423236515,0.8782435129740519,178.0,207.2108154296875
2023-01-30,0.3417491316795349,0.9528455284552846,0.8878048658370972,0.5779467680608364,0.8916666666666667,209.0,208.17247009277344
2023-01-31,0.31821924448013306,0.9691056910569106,0.8861788511276245,0.5736434108527132,0.8886597938144329,202.0,208.88597106933594
2023-02-01,0.3315606415271759,0.967479674796748,0.9138211607933044,0.6113207547169811,0.890495867768595,213.0,214.89698791503906
2023-02-02,0.3363133370876312,0.9707317073170731,0.8943089246749878,0.6223776223776224,0.8989247311827957,233.0,210.48898315429688
2023-02-03,0.34727975726127625,0.9642276422764228,0.9219512343406677,0.5787545787545788,0.8807531380753139,215.0,219.67242431640625
2023-02-04,0.33634498715400696,0.9560975609756097,0.8991869688034058,0.5555555555555556,0.8800813008130082,192.0,212.67579650878906
2023-02-05,0.34876278042793274,0.9577235772357724,0.8975609540939331,0.5381526104417671,0.8712273641851107,194.0,208.77926635742188
2023-02-06,0.33028697967529297,0.9691056910569106,0.8731707334518433,0.5506072874493927,0.8808080808080808,190.0,208.2545928955078
2023-02-07,0.3388485014438629,0.967479674796748,0.8764227628707886,0.5714285714285714,0.8917835671342685,182.0,208.5193634033203
2023-02-08,0.3426710069179535,0.9772357723577236,0.8829268217086792,0.5564516129032258,0.8843813387423936,188.0,208.7193603515625
