model,model_label,bin,n,mean_probability,observed_rate,abs_calibration_error
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,0,734757,5.682459897827019e-06,0.0002613108823733561,0.00025562842247552905
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,1,734168,7.324690513024923e-06,0.00046310926109555307,0.00045578457058252815
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,2,734168,8.004203537955565e-06,0.0005816107484935328,0.0005736065449555772
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,3,734382,8.454699296097703e-06,0.0006645043042993973,0.0006560496050032996
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,4,734362,8.883577681012146e-06,0.0007448642495118212,0.000735980671830809
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,5,734359,9.459901138627638e-06,0.0005800977451083189,0.0005706378439696913
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,6,734322,0.0006131712843232678,0.0008034622413600573,0.00019029095703678952
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,7,734355,0.0029701059697002244,0.0032736210688291086,0.0003035150991288842
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,8,734351,0.006556377802009996,0.005730229821978863,0.0008261479800311328
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,9,734359,0.020865646889149093,0.017404294085045596,0.0034613528041034965
