model,model_label,frame_index,forecast_date,q,tp,fp,tn,fn,accuracy,recall_tpr,specificity_tnr,precision_ppv,fpr,fnr,f1,balanced_accuracy,mcc
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,0,2020-01-01,0.01,24,546,56225,132,0.9880900100128235,0.15384615384615385,0.990382413556217,0.042105263157894736,0.009617586443782918,0.8461538461538461,0.06611570247933884,0.5721142837011854,0.07572957157364511
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,0,2020-01-01,0.05,66,2781,53990,90,0.9495669893020886,0.4230769230769231,0.9510137217945782,0.023182297154899896,0.048986278205421785,0.5769230769230769,0.04395604395604396,0.6870453224357507,0.0897202229063955
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,0,2020-01-01,0.1,92,5601,51170,64,0.9004865880864967,0.5897435897435898,0.9013404731288862,0.01616019673282979,0.09865952687111378,0.41025641025641024,0.0314583689519576,0.745542031436238,0.08557200101322007
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,1,2020-01-15,0.01,31,539,56222,135,0.9881602754404764,0.18674698795180722,0.9905040432691461,0.054385964912280704,0.009495956730853931,0.8132530120481928,0.08423913043478261,0.5886255156104767,0.09599673725384865
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,1,2020-01-15,0.05,71,2776,53985,95,0.9495669893020886,0.42771084337349397,0.9510931801765297,0.024938531787846857,0.04890681982347034,0.572289156626506,0.047129107202124126,0.6894020117750118,0.09370905781746441
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,1,2020-01-15,0.1,98,5595,51166,68,0.9005217208003232,0.5903614457831325,0.9014287979422491,0.017214122606709993,0.09857120205775093,0.40963855421686746,0.03345280764635603,0.7458951218626908,0.08839124439292688
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,2,2020-01-29,0.01,27,543,56206,151,0.9878089483022116,0.15168539325842698,0.990431549454616,0.04736842105263158,0.00956845054538406,0.848314606741573,0.07219251336898395,0.5710584713565214,0.07969362881272792
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,2,2020-01-29,0.05,76,2771,53978,102,0.9495318565882621,0.42696629213483145,0.9511709457435373,0.026694766420793818,0.04882905425646267,0.5730337078651685,0.05024793388429752,0.6890686189391844,0.09685598902263823
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,2,2020-01-29,0.1,102,5591,51158,76,0.9004514553726702,0.5730337078651685,0.9014784401487251,0.017916739855963464,0.0985215598512749,0.42696629213483145,0.034747061829330614,0.7372560740069468,0.08830528958907309
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,3,2020-02-12,0.01,21,549,56221,136,0.9879670455144307,0.1337579617834395,0.9903293993306324,0.03684210526315789,0.009670600669367624,0.8662420382165605,0.057771664374140295,0.5620436805570359,0.0653620193133636
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,3,2020-02-12,0.05,63,2784,53986,94,0.9494440248036959,0.4012738853503185,0.95096001409195,0.022128556375131718,0.049039985908050025,0.5987261146496815,0.041944074567243674,0.6761169497211342,0.08474778360246864
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,3,2020-02-12,0.1,89,5604,51166,68,0.9003636235881041,0.5668789808917197,0.901285890435089,0.01563323379588969,0.09871410956491104,0.43312101910828027,0.030427350427350435,0.7340824356634044,0.08183863419247858
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,4,2020-02-26,0.01,16,554,56210,147,0.9876859838038189,0.09815950920245399,0.9902402931435417,0.028070175438596492,0.009759706856458319,0.901840490797546,0.043656207366985,0.5441999011729979,0.04744279106436527
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,4,2020-02-26,0.05,54,2793,53971,109,0.9490224322377782,0.3312883435582822,0.950796279331971,0.018967334035827187,0.049203720668029034,0.6687116564417178,0.035880398671096346,0.6410423114451266,0.06915086789784838
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,4,2020-02-26,0.1,92,5601,51163,71,0.9003636235881041,0.5644171779141104,0.9013283066732436,0.01616019673282979,0.09867169332675639,0.43558282208588955,0.031420765027322405,0.7328727422936769,0.0829524518480826
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,5,2020-03-11,0.01,33,537,56222,135,0.9881954081543028,0.19642857142857142,0.9905389453654927,0.05789473684210526,0.009461054634507303,0.8035714285714286,0.0894308943089431,0.593483758397032,0.10186542637691111
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,5,2020-03-11,0.05,74,2773,53986,94,0.9496372547297416,0.44047619047619047,0.9511443119152909,0.02599227256761503,0.04885568808470903,0.5595238095238095,0.04908789386401326,0.6958102511957407,0.09745976361657721
