epoch,train_total,train_nll,train_type,train_neighbor,validation_total,validation_nll,validation_type,validation_neighbor
1,0.8243248692282443,0.6895963241154118,0.4956124828483344,0.402577792856016,0.7172428448994954,0.6501812934875488,0.23669059177239735,0.21038631598154703
2,0.7325411037712246,0.6515364663146349,0.2950364132103753,0.24499442993666876,0.6406875451405843,0.5997197151184082,0.13905145625273388,0.13406732380390168
3,0.676663623013849,0.6130966894357585,0.2273237386334267,0.1964558125817822,0.6000201304753622,0.5677234888076782,0.10463315397500991,0.11067776083946228
4,0.6429815765484762,0.5888007914045905,0.1907333260264378,0.17047183151838843,0.579730733235677,0.5520755966504415,0.08680148671070735,0.09756614963213603
5,0.6211658259310148,0.5737105211395234,0.1649609157663375,0.15140779583138714,0.5683053572972615,0.5438013116518656,0.07518191188573838,0.0881785457332929
6,0.606298879426741,0.5649785877201807,0.14177236877062904,0.133696215683848,0.5606835722923279,0.5388023614883423,0.06565635651350021,0.08021830519040425
7,0.5950103082081687,0.5594766671091665,0.11981290935426371,0.11707803360567019,0.5567930221557618,0.5369897246360779,0.05809096718827884,0.07393089284499486
8,0.5867850645970741,0.5564421092953663,0.10051432356296347,0.10177200754328924,0.5522083481152852,0.534563950697581,0.05002419501543045,0.06760506480932235
9,0.5794665600075332,0.5536109665952303,0.08320310372670801,0.08916755194561955,0.5467195510864258,0.5314155777295431,0.04164244805773099,0.06038417170445124
10,0.5736836907000857,0.551645350363468,0.069331655010639,0.07759063369105298,0.5443305929501852,0.5309527953465779,0.035802101343870164,0.05338327338298162
11,0.5689405400001585,0.5499127073510611,0.05947230983858906,0.06737991880466038,0.540939450263977,0.5293038725852967,0.030327909563978513,0.04724268391728401
12,0.5647764004158139,0.5481213368330484,0.051632164430293594,0.059401637109916965,0.5372363607088725,0.527043875058492,0.02620088681578636,0.04174923325578372
13,0.5618355779796259,0.5471179174541964,0.045407389910304595,0.052710340659094225,0.5366511940956116,0.5276441295941671,0.022879281640052797,0.03716773316264153
14,0.5589556232500633,0.5459125058196398,0.0400635738375122,0.046890601646227596,0.5343757271766663,0.5262389063835144,0.020751734698812165,0.03349359482526779
15,0.556667915809943,0.5449591621118761,0.03605734349630686,0.042001017365706106,0.53225337266922,0.5248558402061463,0.019063004975517592,0.030254008372624715
16,0.5547518143394115,0.5441726564433325,0.03263877582979109,0.0378889243629424,0.532147483030955,0.5255961696306864,0.016737465187907218,0.026938049991925558
17,0.5528163693062527,0.5432710239395557,0.029443421361221415,0.034192240322262396,0.5297555406888326,0.5238787849744161,0.014882177611192067,0.02429630607366562
18,0.5510196507209006,0.5423332364642667,0.026928137705193884,0.030981232850642054,0.5278450012207031,0.5225525895754496,0.013527368443707626,0.02175546425084273
19,0.549461663928941,0.5415312125988971,0.024561400927516273,0.02830826946994442,0.5311560869216919,0.5263159434000652,0.01223920558889707,0.02002844326198101
20,0.5486023249793145,0.5413506091336796,0.022572279056164542,0.025772529447646922,0.5274678866068522,0.5230654875437418,0.01124161873012781,0.018107640370726586
21,0.5473840957949597,0.5407150587219208,0.020856657946040195,0.023603627675644154,0.5256893595059713,0.5215933124224345,0.010463988470534483,0.016842966030041377
22,0.5466175573345288,0.5404444012196611,0.0193511363814661,0.021803262429710493,0.5246803879737854,0.5209450483322143,0.009600163126985231,0.01530221061160167
23,0.5448173412089218,0.5391337011110922,0.01794512806177603,0.01994580390649315,0.5236892183621724,0.5201513290405273,0.009212152908245723,0.014373855479061604
24,0.5438647680709334,0.5385959227261377,0.01662517240423173,0.018500483917355072,0.5250832319259644,0.5218441526095072,0.00847617747883002,0.013117764020959537
25,0.5434386725555598,0.5385303231760685,0.015548105666899495,0.017174242992055555,0.524209463596344,0.52119034131368,0.00799121130257845,0.012136250796417395
