model,model_label,frame_index,forecast_date,q,allocation_share_gap,allocation_to_crime_ratio_gap,subgroup_fpr_gap,subgroup_fnr_gap,allocation_gini_frame
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,0,2020-01-01,0.01,0.0824561403508772,2.171345029239766,0.09060480132602308,0.5,0.9899871765594532
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,0,2020-01-01,0.05,0.0460133473832104,2.1458845568434612,0.276663515338976,1.0,0.9499885818680063
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,0,2020-01-01,0.1,0.037063059898120504,1.5107090579073716,0.38025753171657406,0.8,0.8999947300929261
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,1,2020-01-15,0.01,0.08771929824561403,3.1507101086048457,0.09872566653505759,0.4444444444444444,0.9899871765594532
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,1,2020-01-15,0.05,0.04425711275026343,3.2581999431314506,0.27599758879145486,0.6666666666666667,0.9499885818680063
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,1,2020-01-15,0.1,0.03653609696118039,2.2067618545749585,0.38966657405286137,0.6333333333333333,0.8999947300929261
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,2,2020-01-29,0.01,0.08771929824561404,2.74780701754386,0.0981878620602804,0.625,0.9899871765594532
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,2,2020-01-29,0.05,0.044959606603442226,1.768308746048472,0.2746693924324269,0.775,0.9499885818680063
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,2,2020-01-29,0.1,0.03196908484103284,1.097854089817905,0.37594188145411805,0.8,0.8999947300929261
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,3,2020-02-12,0.01,0.08947368421052632,3.3241228070175444,0.09746392468049445,0.5555555555555556,0.9899871765594532
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,3,2020-02-12,0.05,0.045310853530031614,2.2339304531085356,0.2721617046138468,1.0,0.9499885818680063
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,3,2020-02-12,0.1,0.03214473915334621,2.3925873880203765,0.37154683007007533,0.8571428571428571,0.8999947300929261
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,4,2020-02-26,0.01,0.09649122807017543,12.146260387811633,0.10809337948302526,0.4444444444444444,0.9899871765594532
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,4,2020-02-26,0.05,0.045662100456621,8.174366369031112,0.27232218053747803,1.0,0.9499885818680063
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,4,2020-02-26,0.1,0.032144739153346216,6.336867991161815,0.3693189020182246,0.8333333333333334,0.8999947300929261
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,5,2020-03-11,0.01,0.0912280701754386,2.20250626566416,0.10384180511040988,0.7142857142857143,0.9899871765594532
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,5,2020-03-11,0.05,0.03442219880576045,1.828310502283105,0.26910606550874705,0.8571428571428572,0.9499885818680063
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,5,2020-03-11,0.1,0.03232039346565958,1.9058141577375722,0.3800196886351301,0.5892857142857143,0.8999947300929261
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,6,2020-03-25,0.01,0.1,3.0274853801169597,0.11803302070156173,0.5,0.9899871765594532
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,6,2020-03-25,0.05,0.041798384264137685,2.4431155602388475,0.2898794281085203,0.8333333333333334,0.9499885818680063
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,6,2020-03-25,0.1,0.03794133145968734,2.3838983547046078,0.387948979190318,1.0,0.8999947300929261
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,7,2020-04-08,0.01,0.09473684210526316,2.614035087719299,0.10941906373378454,0.8333333333333334,0.9899871765594532
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,7,2020-04-08,0.05,0.04531085353003161,1.338924013581548,0.27209937054346034,0.8333333333333334,0.9499885818680063
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,7,2020-04-08,0.1,0.03196908484103285,1.4198577200070264,0.3786681358207632,1.0,0.8999947300929261
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,8,2020-04-22,0.01,0.1,2.43984962406015,0.10787949151181844,0.7142857142857143,0.9899871765594532
