model,model_label,q,allocation_gini,selected_cell_frame_share
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,0.01,0.9830753882364955,0.010012823440546666
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,0.05,0.9239162755542862,0.050011418131993605
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,0.1,0.859347401760929,0.10000526990707397
