epoch,cyclic_offset,used_train_targets,train_total,train_weighted_nll,train_unweighted_nll,train_type,train_neighbor,validation_total,validation_weighted_nll,validation_unweighted_nll,validation_type,validation_neighbor,elapsed_seconds,halr_category_weight_0,halr_cluster_weight_0_0,halr_cluster_weight_0_1,halr_cluster_weight_0_2,halr_cluster_weight_0_3,halr_category_weight_1,halr_cluster_weight_1_0,halr_cluster_weight_1_1,halr_cluster_weight_1_2,halr_cluster_weight_1_3,halr_category_weight_2,halr_cluster_weight_2_0,halr_cluster_weight_2_1,halr_cluster_weight_2_2,halr_cluster_weight_2_3
1,0,514,0.7951699460526849,0.6611296344360025,0.6617620193076968,0.4902117040138764,0.40339033311443107,0.678425419330597,0.6119252204895019,0.6133105715115865,0.22551138897736867,0.20858754515647887,32.80160481703933,0.3333333432674408,0.25,0.25,0.25,0.25,0.3333333432674408,0.25,0.25,0.25,0.25,0.3333333432674408,0.25,0.25,0.25,0.25
2,1,514,0.6484796634444003,0.5691808418077253,0.5678382295578834,0.28501106502944856,0.24364771505506122,0.6126524806022644,0.5782965620358785,0.5777893185615539,0.1152153730392456,0.11720572014649709,25.93721003702376,0.3333333432674408,0.25,0.25,0.25,0.25,0.3333333432674408,0.25,0.25,0.25,0.25,0.3333333432674408,0.25,0.25,0.25,0.25
3,2,514,0.581005816329778,0.5225051792215281,0.5163522508821599,0.2089978552166126,0.18100632303883593,0.5854095300038655,0.5659393906593323,0.5610038995742798,0.0771888479590416,0.08551561534404754,26.095763716031797,0.30112749338150024,0.25153908133506775,0.25141507387161255,0.26104578375816345,0.23600001633167267,0.34979283809661865,0.24441492557525635,0.24815332889556885,0.2586272656917572,0.2488044649362564,0.3490796387195587,0.26546233892440796,0.2381156086921692,0.2440573126077652,0.25236472487449646
4,3,513,0.5841917819679364,0.5355792117630065,0.5336519838773717,0.17189380787966543,0.15219002726830935,0.5701390027999877,0.5518043677012126,0.5493112961451213,0.06281401067972184,0.0760373537739118,25.6305657759076,0.3181750178337097,0.25635045766830444,0.24313296377658844,0.2496320754289627,0.2508845031261444,0.3411393463611603,0.2504148483276367,0.24813097715377808,0.24718859791755676,0.25426560640335083,0.34068563580513,0.2528127133846283,0.25442543625831604,0.24326898157596588,0.24949289858341217
5,4,513,0.5677526722177427,0.5260536350004854,0.529218151903989,0.14443718123505686,0.13355635205323702,0.5630923668543498,0.5365351676940918,0.5442715843518575,0.05395253673195839,0.07151942700147629,24.09236161992885,0.3862561583518982,0.2439282387495041,0.25384339690208435,0.2389310598373413,0.26329734921455383,0.30760258436203003,0.2465960830450058,0.25050950050354004,0.25441640615463257,0.2484779953956604,0.3061412572860718,0.25080394744873047,0.2534300982952118,0.24884651601314545,0.2469194531440735
6,5,513,0.5690710205316079,0.5337173841152972,0.5331987941938999,0.11844038057048419,0.11725054646444599,0.5571347037951152,0.5392631808916728,0.5394980430603027,0.0481488307317098,0.06942891329526901,25.788098063901998,0.3371720314025879,0.24616128206253052,0.24816276133060455,0.2536843419075012,0.2519915997982025,0.3301573693752289,0.24639035761356354,0.2521687150001526,0.25713664293289185,0.244304358959198,0.3326706290245056,0.24691742658615112,0.2531506419181824,0.2508936822414398,0.2490382045507431
7,6,513,0.5586078723504064,0.5289586783617328,0.5280500151957684,0.09551168096634845,0.10214960769719315,0.5529669046401977,0.5365907947222391,0.536423659324646,0.04342675283551216,0.06686135083436966,25.65638417995069,0.3350839912891388,0.2518313229084015,0.24902771413326263,0.25091153383255005,0.24822941422462463,0.3326159715652466,0.2531982660293579,0.24556048214435577,0.24466481804847717,0.25657641887664795,0.332300066947937,0.2522732615470886,0.24696585536003113,0.2497335523366928,0.25102725625038147
8,0,514,0.5798457867904396,0.5552657928448242,0.5543801072506589,0.07606695905501741,0.08779965100469292,0.54797523021698,0.5329122145970663,0.5331328670183818,0.0378562996784846,0.06109269261360169,41.7149663399905,0.33574023842811584,0.24601569771766663,0.25352099537849426,0.24604900181293488,0.25441429018974304,0.3325727581977844,0.25232768058776855,0.2520424723625183,0.2449253797531128,0.25070446729660034,0.33168694376945496,0.24644437432289124,0.25211042165756226,0.25001809000968933,0.2514271140098572
9,1,514,0.5345312454357222,0.5136353227414974,0.5138705651119989,0.06247169121462084,0.07683448363023046,0.5453008929888408,0.5312437375386556,0.5325726906458537,0.031558658679326376,0.05329585025707881,47.02572856808547,0.3430410325527191,0.24909727275371552,0.24893780052661896,0.25738751888275146,0.24457745254039764,0.3307933211326599,0.25433504581451416,0.24992430210113525,0.2505607008934021,0.2451799511909485,0.32616564631462097,0.24995480477809906,0.248118057847023,0.2502993047237396,0.2516278326511383
10,2,514,0.5076780323852361,0.49003592191503204,0.48376349020560894,0.051991887521071194,0.06562217251046158,0.5448230028152465,0.5386447429656982,0.5339780012766521,0.026106121639410656,0.04619383265574773,48.8529373150086,0.29640358686447144,0.25166165828704834,0.2531238794326782,0.25236597657203674,0.2428485006093979,0.3512890338897705,0.24733547866344452,0.25180643796920776,0.25116798281669617,0.24969008564949036,0.35230737924575806,0.2530513405799866,0.24785733222961426,0.25120341777801514,0.24788795411586761
