forecast_date,mae,picp,mpiw,occurrence_f1,true_zero_rate,observed_events,predicted_events
2020-01-01,0.2937319278717041,0.9707317073170731,0.8032520413398743,0.5358851674641149,0.9112426035502958,158.0,171.42181396484375
2020-01-02,0.3066404461860657,0.9788617886178862,0.8032520413398743,0.44329896907216493,0.8940269749518305,139.0,171.87246704101562
2020-01-03,0.3131175935268402,0.9739837398373984,0.8016260266304016,0.5045045045045045,0.9107505070993914,173.0,168.59600830078125
2020-01-04,0.30544865131378174,0.9707317073170731,0.795121967792511,0.42718446601941745,0.8899803536345776,149.0,169.62615966796875
2020-01-05,0.3172746002674103,0.9658536585365853,0.7918699383735657,0.430622009569378,0.898406374501992,156.0,167.30015563964844
2020-01-06,0.3267260193824768,0.9577235772357724,0.785365879535675,0.5454545454545454,0.9293139293139293,193.0,167.05538940429688
2020-01-07,0.3102878928184509,0.9642276422764228,0.7821138501167297,0.5727699530516432,0.93158953722334,169.0,169.1839141845703
2020-01-08,0.29737502336502075,0.9691056910569106,0.7934959530830383,0.5024630541871922,0.9060665362035225,152.0,166.81251525878906
2020-01-09,0.30836108326911926,0.9723577235772358,0.7788617610931396,0.47115384615384615,0.9047619047619048,158.0,166.87039184570312
2020-01-10,0.33613473176956177,0.9479674796747968,0.7918699383735657,0.5271966527196653,0.9222689075630253,200.0,167.84994506835938
2020-01-11,0.3234979510307312,0.9658536585365853,0.800000011920929,0.4976958525345622,0.8915187376725838,162.0,171.3238983154297
2020-01-12,0.28646931052207947,0.9853658536585366,0.8065040707588196,0.5384615384615384,0.9060665362035225,142.0,169.74234008789062
2020-01-13,0.2954820692539215,0.9772357723577236,0.790243923664093,0.5610859728506787,0.9249492900608519,166.0,167.41424560546875
2020-01-14,0.3238847255706787,0.9560975609756097,0.785365879535675,0.4766355140186916,0.8986083499005965,172.0,167.50094604492188
2020-01-15,0.323150634765625,0.9609756097560975,0.7788617610931396,0.5201793721973094,0.9109311740890689,173.0,166.68861389160156
2020-01-16,0.327985942363739,0.9577235772357724,0.7918699383735657,0.5087719298245614,0.9137577002053389,180.0,168.11544799804688
2020-01-17,0.3219356834888458,0.9626016260162602,0.8032520413398743,0.5550660792951542,0.9241803278688525,185.0,167.45175170898438
2020-01-18,0.3299892842769623,0.9609756097560975,0.800000011920929,0.5529953917050692,0.9271255060728745,184.0,168.4050750732422
2020-01-19,0.2930392324924469,0.9691056910569106,0.7918699383735657,0.5096153846153846,0.9090909090909091,154.0,169.4119873046875
2020-01-20,0.3237828314304352,0.9626016260162602,0.8016260266304016,0.49557522123893805,0.9137577002053389,184.0,166.98916625976562
2020-01-21,0.32306891679763794,0.9560975609756097,0.7967479825019836,0.5067873303167421,0.9164969450101833,182.0,168.33203125
