model,model_label,frame_index,forecast_date,mae,rmse,poisson_deviance,rmsle,mase,r2,pearson,spearman,residual_morans_i,brier_score,log_loss,probability_oe_ratio,count_oe_ratio,roc_auc,pr_auc_average_precision,poisson_log_likelihood,poisson_log_likelihood_per_event,centroid_distance_m,predicted_events,actual_events
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,0,2020-01-01,0.005558199399235417,0.05296281634203411,0.028985891530022907,0.03649503377113154,1.0028024031944665,0.011622991864066345,0.11092420961854527,0.062287996880917136,-0.0010267305281436905,0.0027000188152906993,0.017035066208484745,0.9602702476559811,0.9623623580802387,0.8439538243839735,0.02650688615619322,-981.6536292036873,-6.2129976531878945,1310.2742719151195,164.17932255287405,158.0
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,1,2020-01-15,0.005769367092575397,0.05731704817949968,0.02995602989236135,0.0382480922491329,0.9939394582717654,0.018139829999110346,0.13520613952518692,0.06490239777229002,-0.0012024759958905581,0.002858213121144072,0.017406194356662838,1.0345552696617268,1.0671007434950937,0.8474481248048519,0.036558567090517864,-1020.565860505995,-5.899224627202283,617.8081141904698,162.1215251273934,173.0
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,2,2020-01-29,0.005931268388922544,0.05595089470677112,0.03204907688531306,0.0387193401529237,1.0037422124287214,0.012342434565114857,0.11270664920362632,0.06616991126915453,0.0007998771255180097,0.0030774911356160266,0.019035887462595796,1.0904274587949343,1.08483388088964,0.8421322971389288,0.027016424638940866,-1090.5357527445485,-6.092378506952785,1543.5213480561677,165.00222121861407,179.0
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,3,2020-02-12,0.005604353805646592,0.05311119460691881,0.029326475913313037,0.03661233197877975,1.0072658583722047,0.012157544701046574,0.11300442889809023,0.06111312945625149,0.0031685039434776025,0.002719071803051361,0.01727159124757359,0.9570898904092966,0.9590233267630284,0.8363897680774697,0.028101879859298424,-992.3478527974656,-6.241181464135004,2411.7879335944817,165.7936731702548,159.0
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,4,2020-02-26,0.00573188372829344,0.05568287917838411,0.030869792535851613,0.037931807379366606,0.9987576728208485,0.005618552963337908,0.08659165330566133,0.06298357004660217,-0.006776729206552899,0.0028370728213562035,0.017772701508753246,1.0093134945714608,1.0293972582437803,0.8402699390826207,0.019633621294078207,-1043.1966039414126,-6.209503594889361,2855.2311823985788,163.20229984546404,168.0
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,5,2020-03-11,0.005690028628152853,0.054279818379438814,0.03143417787029648,0.037526445248478174,0.9933778685743531,0.01627196483883475,0.1276146189331392,0.061179169827358576,0.0020862527370761894,0.0028938375059322442,0.018529023391707644,1.0507225828398414,1.0461505304693262,0.8255798430121005,0.03510317425787865,-1063.0335746306237,-6.290139494855762,510.82391805264473,161.544629647306,169.0
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,6,2020-03-25,0.005590500895526152,0.055458304005276224,0.03231232667159139,0.03774326519845479,0.9786598982813673,0.00806794575958325,0.09481018935464983,0.05940906002304816,0.003350115015906364,0.0028140826749195134,0.018548804847711053,1.0476290234723915,1.0691115770530981,0.8219356280441455,0.02090391757402165,-1083.2561743140418,-6.486563918048154,926.2274376325561,156.20446320515885,167.0
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,7,2020-04-08,0.005363754053586758,0.05232749967498393,0.02943642672693089,0.03575426591093501,0.9919800302058345,0.004689124617301199,0.08518473710297819,0.05581662931120015,0.003963795827963312,0.0025288626031483414,0.01693248281179575,0.9119034889991796,0.9274660694906985,0.819658063082157,0.016763084504238475,-984.0911434197577,-6.604638546441327,1511.8099766473522,160.65277739143676,149.0
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,8,2020-04-22,0.005677130311197599,0.054438532731139064,0.030366524322462545,0.03735651887321377,1.00017342725065,0.010646888641599572,0.1063196937909613,0.06392488155663512,0.001958344316190983,0.0028066278306170867,0.017743826303754814,0.999242309491024,1.007215364825736,0.8464128152345658,0.025341218388257532,-1027.2581235107327,-6.225806809155956,350.4848000567102,163.8179934125087,165.0
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,9,2020-05-06,0.00570029480295962,0.05462079710585552,0.02930987774973994,0.03732791386506635,1.0072076494990603,0.0098510807628307,0.10360543235165187,0.06432928502577989,-0.004402343286116779,0.0027737879293587265,0.017094084228140904,0.973574416846126,0.9874520881780465,0.8507687124561805,0.024501338155681052,-995.4891166074829,-6.070055589070018,405.0722898627009,166.08400748090708,164.0
