model,model_label,frame_index,forecast_date,predicted_events,actual_events,cumulative_predicted_events,cumulative_actual_events,cumulative_error
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,0,2020-01-01,164.1793212890625,158.0,164.1793212890625,158.0,6.1793212890625
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,1,2020-01-15,162.12152099609375,173.0,326.30084228515625,331.0,-4.69915771484375
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,2,2020-01-29,165.00221252441406,179.0,491.30303955078125,510.0,-18.69696044921875
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,3,2020-02-12,165.79367065429688,159.0,657.0966796875,669.0,-11.9033203125
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,4,2020-02-26,163.20230102539062,168.0,820.2989501953125,837.0,-16.7010498046875
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,5,2020-03-11,161.5446319580078,169.0,981.8435668945312,1006.0,-24.15643310546875
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,6,2020-03-25,156.2044677734375,167.0,1138.048095703125,1173.0,-34.951904296875
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,7,2020-04-08,160.6527862548828,149.0,1298.700927734375,1322.0,-23.299072265625
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,8,2020-04-22,163.8179931640625,165.0,1462.5189208984375,1487.0,-24.4810791015625
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,9,2020-05-06,166.08401489257812,164.0,1628.6029052734375,1651.0,-22.3970947265625
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,10,2020-05-20,166.74990844726562,189.0,1795.352783203125,1840.0,-44.647216796875
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,11,2020-06-03,168.11456298828125,155.0,1963.46728515625,1995.0,-31.53271484375
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,12,2020-06-17,170.0234832763672,205.0,2133.49072265625,2200.0,-66.50927734375
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,13,2020-07-01,173.17010498046875,211.0,2306.660888671875,2411.0,-104.339111328125
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,14,2020-07-15,168.99517822265625,177.0,2475.656005859375,2588.0,-112.343994140625
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,15,2020-07-29,169.4842071533203,161.0,2645.14013671875,2749.0,-103.85986328125
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,16,2020-08-12,163.53424072265625,155.0,2808.67431640625,2904.0,-95.32568359375
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,17,2020-08-26,159.09764099121094,167.0,2967.77197265625,3071.0,-103.22802734375
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,18,2020-09-09,157.3302459716797,143.0,3125.102294921875,3214.0,-88.897705078125
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,19,2020-09-23,155.45558166503906,151.0,3280.557861328125,3365.0,-84.442138671875
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,20,2020-10-07,157.38218688964844,151.0,3437.93994140625,3516.0,-78.06005859375
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,21,2020-10-21,160.4763641357422,174.0,3598.416259765625,3690.0,-91.583740234375
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,22,2020-11-04,164.69163513183594,165.0,3763.10791015625,3855.0,-91.89208984375
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,23,2020-11-18,163.99185180664062,190.0,3927.099853515625,4045.0,-117.900146484375
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,24,2020-12-02,165.01251220703125,191.0,4092.1123046875,4236.0,-143.8876953125
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,25,2020-12-16,165.64971923828125,166.0,4257.76220703125,4402.0,-144.23779296875
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,26,2020-12-30,166.19757080078125,166.0,4423.9599609375,4568.0,-144.0400390625
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,27,2021-01-13,167.72616577148438,170.0,4591.68603515625,4738.0,-146.31396484375
