model,model_label,q,category,metric,mean,std,n,k,note
our_vol1,Our vol1 STNPP-GAT,0.06,hotspot_ranking,hit_rate,0.44324796590458065,0.04978021167789721,131,,
our_vol1,Our vol1 STNPP-GAT,0.06,hotspot_ranking,miss_rate,0.5567520340954193,0.04978021167789721,131,,
our_vol1,Our vol1 STNPP-GAT,0.06,hotspot_ranking,area_coverage,0.06000667521562704,6.965530830656934e-18,131,,
our_vol1,Our vol1 STNPP-GAT,0.06,hotspot_ranking,hotspot_density_per_km2,1.0178117048346054,0.2296984150119437,131,,
our_vol1,Our vol1 STNPP-GAT,0.06,hotspot_ranking,pai,7.386644307684445,0.8295779011087981,131,,
our_vol1,Our vol1 STNPP-GAT,0.06,hotspot_ranking,pei_star,0.44324796590458065,0.04978021167789721,131,,
our_vol1,Our vol1 STNPP-GAT,0.06,hotspot_ranking,iou_jaccard,0.028136519523380008,0.002160591240686177,131,,
our_vol1,Our vol1 STNPP-GAT,0.06,hotspot_ranking,dice,0.05472451150401344,0.0040904322333628635,131,,
our_vol1,Our vol1 STNPP-GAT,0.06,hotspot_ranking,centroid_distance_m,1197.5706860381972,718.9781162929551,131,,
our_vol1,Our vol1 STNPP-GAT,0.07,hotspot_ranking,hit_count,84.38931297709924,18.765177454769358,131,,
our_vol1,Our vol1 STNPP-GAT,0.07,hotspot_ranking,hit_rate,0.4779296557450078,0.049041716396566175,131,,
our_vol1,Our vol1 STNPP-GAT,0.07,hotspot_ranking,miss_rate,0.5220703442549921,0.049041716396566175,131,,
our_vol1,Our vol1 STNPP-GAT,0.07,hotspot_ranking,area_coverage,0.07000193229926044,1.3931061661313868e-17,131,,
our_vol1,Our vol1 STNPP-GAT,0.07,hotspot_ranking,hotspot_density_per_km2,0.9411884899160657,0.20928679720919402,131,,
our_vol1,Our vol1 STNPP-GAT,0.07,hotspot_ranking,pai,6.827378045820845,0.7005766096128789,131,,
our_vol1,Our vol1 STNPP-GAT,0.07,hotspot_ranking,pei_star,0.4779296557450078,0.049041716396566175,131,,
our_vol1,Our vol1 STNPP-GAT,0.07,hotspot_ranking,iou_jaccard,0.02999773337980733,0.0026334347971164445,131,,
our_vol1,Our vol1 STNPP-GAT,0.07,hotspot_ranking,dice,0.05823555891846332,0.004964203427211076,131,,
our_vol1,Our vol1 STNPP-GAT,0.07,hotspot_ranking,centroid_distance_m,1197.5706860381972,718.9781162929551,131,,
our_vol1,Our vol1 STNPP-GAT,0.08,hotspot_ranking,hit_count,90.83206106870229,19.799437704430563,131,,
our_vol1,Our vol1 STNPP-GAT,0.08,hotspot_ranking,hit_rate,0.5146211380164982,0.04824085208709434,131,,
our_vol1,Our vol1 STNPP-GAT,0.08,hotspot_ranking,miss_rate,0.4853788619835018,0.04824085208709434,131,,
our_vol1,Our vol1 STNPP-GAT,0.08,hotspot_ranking,area_coverage,0.08001475573980711,1.3931061661313868e-17,131,,
our_vol1,Our vol1 STNPP-GAT,0.08,hotspot_ranking,hotspot_density_per_km2,0.8862745317107188,0.19318880550731124,131,,
our_vol1,Our vol1 STNPP-GAT,0.08,hotspot_ranking,pai,6.431577941573039,0.6028994482463269,131,,
our_vol1,Our vol1 STNPP-GAT,0.08,hotspot_ranking,pei_star,0.5146211380164982,0.04824085208709434,131,,
our_vol1,Our vol1 STNPP-GAT,0.08,hotspot_ranking,iou_jaccard,0.034406941485302565,0.002113432873970648,131,,
our_vol1,Our vol1 STNPP-GAT,0.08,hotspot_ranking,dice,0.06651695561458341,0.003949072157929934,131,,
our_vol1,Our vol1 STNPP-GAT,0.08,hotspot_ranking,centroid_distance_m,1197.5706860381972,718.9781162929551,131,,
our_vol1,Our vol1 STNPP-GAT,0.09,hotspot_ranking,hit_count,96.33587786259542,20.393668205530737,131,,
our_vol1,Our vol1 STNPP-GAT,0.09,hotspot_ranking,hit_rate,0.5458884171465281,0.045935569890228116,131,,
our_vol1,Our vol1 STNPP-GAT,0.09,hotspot_ranking,miss_rate,0.45411158285347175,0.04593556989022811,131,,
