model,model_label,q,allocation_gini,selected_cell_frame_share
our_vol1,Our vol1 STNPP-GAT,0.01,0.9835189559940738,0.010012823440546666
our_vol1,Our vol1 STNPP-GAT,0.05,0.9251936701918235,0.050011418131993605
our_vol1,Our vol1 STNPP-GAT,0.1,0.8605856505510578,0.10000526990707397
