model,model_label,frame_index,forecast_date,q,rri
our_vol1,Our vol1 STNPP-GAT,64,2022-06-15,0.01,0.6499938095827659
our_vol1,Our vol1 STNPP-GAT,65,2022-06-29,0.01,1.44167025398192
our_vol1,Our vol1 STNPP-GAT,66,2022-07-13,0.01,1.1949653870358714
our_vol1,Our vol1 STNPP-GAT,67,2022-07-27,0.01,0.781699667937523
our_vol1,Our vol1 STNPP-GAT,68,2022-08-10,0.01,1.373015873015873
our_vol1,Our vol1 STNPP-GAT,69,2022-08-24,0.01,1.0034965034965035
our_vol1,Our vol1 STNPP-GAT,70,2022-09-07,0.01,0.725
our_vol1,Our vol1 STNPP-GAT,71,2022-09-21,0.01,1.1586570111915735
our_vol1,Our vol1 STNPP-GAT,72,2022-10-05,0.01,0.98989898989899
our_vol1,Our vol1 STNPP-GAT,73,2022-10-19,0.01,1.2236961109436235
our_vol1,Our vol1 STNPP-GAT,74,2022-11-02,0.01,0.8080091533180779
our_vol1,Our vol1 STNPP-GAT,75,2022-11-16,0.01,1.0273590173087659
our_vol1,Our vol1 STNPP-GAT,76,2022-11-30,0.01,1.4672811059907835
our_vol1,Our vol1 STNPP-GAT,77,2022-12-14,0.01,0.9271978021978022
our_vol1,Our vol1 STNPP-GAT,78,2022-12-28,0.01,0.6429012981660829
our_vol1,Our vol1 STNPP-GAT,79,2023-01-11,0.01,1.4443452380952382
our_vol1,Our vol1 STNPP-GAT,80,2023-01-25,0.01,1.085579196217494
our_vol1,Our vol1 STNPP-GAT,81,2023-02-08,0.01,0.8651741293532339
our_vol1,Our vol1 STNPP-GAT,82,2023-02-22,0.01,0.7433854907539118
our_vol1,Our vol1 STNPP-GAT,83,2023-03-08,0.01,1.1983805668016196
our_vol1,Our vol1 STNPP-GAT,84,2023-03-22,0.01,1.1336938280812976
our_vol1,Our vol1 STNPP-GAT,85,2023-04-05,0.01,0.8160377358490566
our_vol1,Our vol1 STNPP-GAT,86,2023-04-19,0.01,1.061698717948718
our_vol1,Our vol1 STNPP-GAT,87,2023-05-03,0.01,0.962962962962963
our_vol1,Our vol1 STNPP-GAT,88,2023-05-17,0.01,1.3593582887700535
our_vol1,Our vol1 STNPP-GAT,89,2023-05-31,0.01,0.8798225567952681
our_vol1,Our vol1 STNPP-GAT,90,2023-06-14,0.01,0.5725317153888583
our_vol1,Our vol1 STNPP-GAT,91,2023-06-28,0.01,1.1726495726495725
our_vol1,Our vol1 STNPP-GAT,92,2023-07-12,0.01,0.7360805284680717
our_vol1,Our vol1 STNPP-GAT,93,2023-07-26,0.01,1.204761904761905
our_vol1,Our vol1 STNPP-GAT,94,2023-08-09,0.01,1.0114747131321717
our_vol1,Our vol1 STNPP-GAT,95,2023-08-23,0.01,0.7293040293040293
our_vol1,Our vol1 STNPP-GAT,96,2023-09-06,0.01,1.7997231195200738
our_vol1,Our vol1 STNPP-GAT,97,2023-09-20,0.01,0.7462121212121211
our_vol1,Our vol1 STNPP-GAT,98,2023-10-04,0.01,1.0774410774410774
our_vol1,Our vol1 STNPP-GAT,99,2023-10-18,0.01,1.0981651376146788
our_vol1,Our vol1 STNPP-GAT,100,2023-11-01,0.01,0.9456561031449573
our_vol1,Our vol1 STNPP-GAT,101,2023-11-15,0.01,1.033756851021425
our_vol1,Our vol1 STNPP-GAT,102,2023-11-29,0.01,0.9675187617260788
our_vol1,Our vol1 STNPP-GAT,103,2023-12-13,0.01,0.9131568116339691
our_vol1,Our vol1 STNPP-GAT,104,2023-12-27,0.01,1.1233493397358945
our_vol1,Our vol1 STNPP-GAT,105,2024-01-10,0.01,0.6846762925011644
our_vol1,Our vol1 STNPP-GAT,106,2024-01-24,0.01,0.993952721275426
our_vol1,Our vol1 STNPP-GAT,107,2024-02-07,0.01,0.8327965646806227
our_vol1,Our vol1 STNPP-GAT,108,2024-02-21,0.01,1.4938934122871945
our_vol1,Our vol1 STNPP-GAT,109,2024-03-06,0.01,0.6917562724014337
our_vol1,Our vol1 STNPP-GAT,110,2024-03-20,0.01,0.688888888888889
our_vol1,Our vol1 STNPP-GAT,111,2024-04-03,0.01,1.2609649122807018
our_vol1,Our vol1 STNPP-GAT,112,2024-04-17,0.01,0.9951117318435755
our_vol1,Our vol1 STNPP-GAT,113,2024-05-01,0.01,1.0403418803418805
our_vol1,Our vol1 STNPP-GAT,114,2024-05-15,0.01,1.0540540540540542
our_vol1,Our vol1 STNPP-GAT,115,2024-05-29,0.01,0.9217657342657343
our_vol1,Our vol1 STNPP-GAT,116,2024-06-12,0.01,1.069158878504673
our_vol1,Our vol1 STNPP-GAT,117,2024-06-26,0.01,0.8648405927256398
our_vol1,Our vol1 STNPP-GAT,118,2024-07-10,0.01,1.2908759124087592
our_vol1,Our vol1 STNPP-GAT,119,2024-07-24,0.01,1.0483478260869565
our_vol1,Our vol1 STNPP-GAT,120,2024-08-07,0.01,1.3779527559055118
our_vol1,Our vol1 STNPP-GAT,121,2024-08-21,0.01,0.5093582887700534
our_vol1,Our vol1 STNPP-GAT,122,2024-09-04,0.01,0.8661417322834646
our_vol1,Our vol1 STNPP-GAT,123,2024-09-18,0.01,1.2555610479485912
our_vol1,Our vol1 STNPP-GAT,124,2024-10-02,0.01,0.8450292397660819
our_vol1,Our vol1 STNPP-GAT,125,2024-10-16,0.01,1.243421052631579
our_vol1,Our vol1 STNPP-GAT,126,2024-10-30,0.01,1.6132075471698113
