forecast_date,display_time,theta,omega,refits,state_updates,actual_events_in_window
2012-07-25,2012-07-26T00:00:00,0.05,0.011111111111111112,10,147,3
2012-07-26,2012-07-27T00:00:00,0.05,0.011111111111111112,10,150,1
2012-07-27,2012-07-28T00:00:00,0.05,0.011111111111111112,10,151,5
2012-07-28,2012-07-29T00:00:00,0.05,0.011111111111111112,10,156,4
2012-07-29,2012-07-30T00:00:00,0.05,0.011111111111111112,10,160,0
2012-07-30,2012-07-31T00:00:00,0.05,0.011111111111111112,10,160,0
2012-07-31,2012-08-01T00:00:00,0.05,0.011111111111111112,10,160,3
2012-08-01,2012-08-02T00:00:00,0.05,0.011111111111111112,11,163,1
2012-08-02,2012-08-03T00:00:00,0.05,0.011111111111111112,11,164,0
2012-08-03,2012-08-04T00:00:00,0.05,0.011111111111111112,11,164,4
2012-08-04,2012-08-05T00:00:00,0.05,0.011111111111111112,11,168,4
2012-08-05,2012-08-06T00:00:00,0.05,0.011111111111111112,11,172,2
2012-08-06,2012-08-07T00:00:00,0.05,0.011111111111111112,11,174,6
2012-08-07,2012-08-08T00:00:00,0.05,0.011111111111111112,11,180,2
2012-08-08,2012-08-09T00:00:00,0.05,0.011111111111111112,12,182,2
2012-08-09,2012-08-10T00:00:00,0.05,0.011111111111111112,12,184,3
2012-08-10,2012-08-11T00:00:00,0.05,0.011111111111111112,12,187,1
2012-08-11,2012-08-12T00:00:00,0.05,0.011111111111111112,12,188,7
2012-08-12,2012-08-13T00:00:00,0.05,0.011111111111111112,12,195,4
2012-08-13,2012-08-14T00:00:00,0.05,0.011111111111111112,12,199,3
2012-08-14,2012-08-15T00:00:00,0.05,0.011111111111111112,12,202,2
2012-08-15,2012-08-16T00:00:00,0.05,0.011111111111111112,13,204,4
2012-08-16,2012-08-17T00:00:00,0.05,0.011111111111111112,13,208,4
2012-08-17,2012-08-18T00:00:00,0.05,0.011111111111111112,13,212,1
2012-08-18,2012-08-19T00:00:00,0.05,0.011111111111111112,13,213,0
2012-08-19,2012-08-20T00:00:00,0.05,0.011111111111111112,13,213,5
2012-08-20,2012-08-21T00:00:00,0.05,0.011111111111111112,13,218,2
2012-08-21,2012-08-22T00:00:00,0.05,0.011111111111111112,13,220,1
2012-08-22,2012-08-23T00:00:00,0.05,0.011111111111111112,14,221,2
2012-08-23,2012-08-24T00:00:00,0.05,0.011111111111111112,14,223,3
2012-08-24,2012-08-25T00:00:00,0.05,0.011111111111111112,14,226,2
2012-08-25,2012-08-26T00:00:00,0.05,0.011111111111111112,14,228,2
2012-08-26,2012-08-27T00:00:00,0.05,0.011111111111111112,14,230,5
2012-08-27,2012-08-28T00:00:00,0.05,0.011111111111111112,14,235,1
2012-08-28,2012-08-29T00:00:00,0.05,0.011111111111111112,14,236,1
2012-08-29,2012-08-30T00:00:00,0.05,0.011111111111111112,15,237,1
2012-08-30,2012-08-31T00:00:00,0.05,0.011111111111111112,15,238,4
2012-08-31,2012-09-01T00:00:00,0.05,0.011111111111111112,15,242,3
2012-09-01,2012-09-02T00:00:00,0.05,0.011111111111111112,15,245,3
2012-09-02,2012-09-03T00:00:00,0.05,0.011111111111111112,15,248,0
2012-09-03,2012-09-04T00:00:00,0.05,0.011111111111111112,15,248,2
2012-09-04,2012-09-05T00:00:00,0.05,0.011111111111111112,15,250,2
2012-09-05,2012-09-06T00:00:00,0.05,0.011111111111111112,16,252,4
2012-09-06,2012-09-07T00:00:00,0.05,0.011111111111111112,16,256,2
2012-09-07,2012-09-08T00:00:00,0.05,0.011111111111111112,16,258,3
2012-09-08,2012-09-09T00:00:00,0.05,0.011111111111111112,16,261,3
2012-09-09,2012-09-10T00:00:00,0.05,0.011111111111111112,16,264,5
2012-09-10,2012-09-11T00:00:00,0.05,0.011111111111111112,16,269,1
2012-09-11,2012-09-12T00:00:00,0.05,0.011111111111111112,16,270,4
2012-09-12,2012-09-13T00:00:00,0.05,0.011111111111111112,17,274,1
2012-09-13,2012-09-14T00:00:00,0.05,0.011111111111111112,17,275,3
2012-09-14,2012-09-15T00:00:00,0.05,0.011111111111111112,17,278,0
2012-09-15,2012-09-16T00:00:00,0.05,0.011111111111111112,17,278,5
2012-09-16,2012-09-17T00:00:00,0.05,0.011111111111111112,17,283,2
2012-09-17,2012-09-18T00:00:00,0.05,0.011111111111111112,17,285,1
2012-09-18,2012-09-19T00:00:00,0.05,0.011111111111111112,17,286,1
2012-09-19,2012-09-20T00:00:00,0.05,0.011111111111111112,18,287,5
2012-09-20,2012-09-21T00:00:00,0.05,0.011111111111111112,18,292,0
2012-09-21,2012-09-22T00:00:00,0.05,0.011111111111111112,18,292,3
2012-09-22,2012-09-23T00:00:00,0.05,0.011111111111111112,18,295,6
2012-09-23,2012-09-24T00:00:00,0.05,0.011111111111111112,18,301,2
2012-09-24,2012-09-25T00:00:00,0.05,0.011111111111111112,18,303,2
2012-09-25,2012-09-26T00:00:00,0.05,0.011111111111111112,18,305,2
2012-09-26,2012-09-27T00:00:00,0.05,0.011111111111111112,19,307,6
2012-09-27,2012-09-28T00:00:00,0.05,0.011111111111111112,19,313,3
2012-09-28,2012-09-29T00:00:00,0.05,0.011111111111111112,19,316,4
2012-09-29,2012-09-30T00:00:00,0.05,0.011111111111111112,19,320,2
2012-09-30,2012-10-01T00:00:00,0.05,0.011111111111111112,19,322,6
2012-10-01,2012-10-02T00:00:00,0.05,0.011111111111111112,19,328,2
2012-10-02,2012-10-03T00:00:00,0.05,0.011111111111111112,19,330,3
2012-10-03,2012-10-04T00:00:00,0.05,0.011111111111111112,20,333,1
2012-10-04,2012-10-05T00:00:00,0.05,0.011111111111111112,20,334,2
2012-10-05,2012-10-06T00:00:00,0.05,0.011111111111111112,20,336,2
2012-10-06,2012-10-07T00:00:00,0.05,0.011111111111111112,20,338,1
2012-10-07,2012-10-08T00:00:00,0.05,0.011111111111111112,20,339,1
2012-10-08,2012-10-09T00:00:00,0.05,0.011111111111111112,20,340,2
2012-10-09,2012-10-10T00:00:00,0.05,0.011111111111111112,20,342,2
2012-10-10,2012-10-11T00:00:00,0.05,0.011111111111111112,21,344,3
2012-10-11,2012-10-12T00:00:00,0.05,0.011111111111111112,21,347,2
2012-10-12,2012-10-13T00:00:00,0.05,0.011111111111111112,21,349,1
2012-10-13,2012-10-14T00:00:00,0.05,0.011111111111111112,21,350,5
2012-10-14,2012-10-15T00:00:00,0.05,0.011111111111111112,21,355,0
2012-10-15,2012-10-16T00:00:00,0.05,0.011111111111111112,21,355,0
2012-10-16,2012-10-17T00:00:00,0.05,0.011111111111111112,21,355,2
