forecast_date,rank,cell_id,risk,background,trigger
2012-05-16,1,c0012_0045,0.029431635884531102,0.028632876712328763,0.0007987591722023397
2012-05-16,2,c0029_0055,0.018691787115258457,0.018221917808219176,0.00046986930703927913
2012-05-16,3,c0015_0045,0.016402818249495455,0.01561917808219178,0.0007836401673036754
2012-05-16,4,c0017_0017,0.016317280384184868,0.01561917808219178,0.0006981023019930876
2012-05-16,5,c0012_0029,0.016040811674210616,0.01561917808219178,0.00042163359201883595
2012-05-16,6,c0031_0060,0.014511356879469485,0.013016438356164384,0.0014949185233051
2012-05-16,7,c0029_0046,0.01438215519622211,0.013016438356164384,0.0013657168400577255
2012-05-16,8,c0009_0027,0.01425194297575309,0.013016438356164384,0.0012355046195887055
2012-05-16,9,c0021_0048,0.014128414796866213,0.013016438356164384,0.0011119764407018285
2012-05-16,10,c0014_0019,0.013762021675420372,0.013016438356164384,0.000745583319255988
2012-05-16,11,c0017_0040,0.013648693053800148,0.013016438356164384,0.0006322546976357642
2012-05-16,12,c0010_0056,0.013605801496050852,0.013016438356164384,0.000589363139886467
2012-05-16,13,c0012_0050,0.013556972241792215,0.013016438356164384,0.0005405338856278301
2012-05-16,14,c0017_0019,0.013549144549501286,0.013016438356164384,0.0005327061933369009
2012-05-16,15,c0013_0052,0.013440643472710304,0.013016438356164384,0.0004242051165459196
2012-05-16,16,c0016_0023,0.013353511829156398,0.013016438356164384,0.0003370734729920146
2012-05-16,17,c0029_0052,0.013229847788199007,0.013016438356164384,0.00021340943203462307
2012-05-16,18,c0011_0058,0.013202225184825193,0.013016438356164384,0.00018578682866080904
2012-05-16,19,c0031_0052,0.011353788567001024,0.010413698630136985,0.0009400899368640397
2012-05-16,20,c0014_0024,0.011237214741038292,0.010413698630136985,0.0008235161109013067
2012-05-17,1,c0012_0045,0.02942280990663036,0.028632876712328763,0.0007899331943015949
2012-05-17,2,c0029_0055,0.018686595242332935,0.018221917808219176,0.00046467743411376055
2012-05-17,3,c0015_0045,0.016943579039877067,0.01561917808219178,0.0013244009576852886
2012-05-17,4,c0017_0017,0.01630956662551483,0.01561917808219178,0.0006903885433230473
2012-05-17,5,c0012_0029,0.016036152787158205,0.01561917808219178,0.00041697470496642255
2012-05-17,6,c0031_0060,0.014494838611749659,0.013016438356164384,0.001478400255585274
2012-05-17,7,c0029_0046,0.014367064556804737,0.013016438356164384,0.001350626200640353
2012-05-17,8,c0009_0027,0.014238291130681074,0.013016438356164384,0.0012218527745166898
2012-05-17,9,c0021_0048,0.014116127890082129,0.013016438356164384,0.0010996895339177434
2012-05-17,10,c0014_0019,0.01375378326999365,0.013016438356164384,0.0007373449138292641
2012-05-17,11,c0017_0040,0.013641706885524185,0.013016438356164384,0.0006252685293598002
2012-05-17,12,c0010_0056,0.013599289262790594,0.013016438356164384,0.00058285090662621
2012-05-17,13,c0012_0050,0.013550999552782583,0.013016438356164384,0.0005345611966181992
2012-05-17,14,c0017_0019,0.013543258353444197,0.013016438356164384,0.0005268199972798116
2012-05-17,15,c0013_0052,0.013435956171312945,0.013016438356164384,0.0004195178151485609
2012-05-17,16,c0016_0023,0.013349787298500492,0.013016438356164384,0.0003333489423361072
2012-05-17,17,c0029_0052,0.013227489697054019,0.013016438356164384,0.00021105134088963536
2012-05-17,18,c0011_0058,0.013200172312694174,0.013016438356164384,0.0001837339565297903
2012-05-17,19,c0031_0052,0.011343400939169976,0.010413698630136985,0.0009297023090329907
2012-05-17,20,c0014_0024,0.01122811520860265,0.010413698630136985,0.0008144165784656641
2012-05-18,1,c0012_0045,0.029414081452349517,0.028632876712328763,0.0007812047400207538
2012-05-18,2,c0029_0055,0.01868146073758208,0.018221917808219176,0.0004595429293629045
2012-05-18,3,c0015_0045,0.01692894492487589,0.01561917808219178,0.0013097668426841097
2012-05-18,4,c0017_0017,0.01630193810087517,0.01561917808219178,0.0006827600186833915
2012-05-18,5,c0012_0029,0.016031545378994042,0.01561917808219178,0.00041236729680226204
2012-05-18,6,c0031_0060,0.014478502864457676,0.013016438356164384,0.0014620645082932913
2012-05-18,7,c0029_0046,0.014352140663078232,0.013016438356164384,0.0013357023069138485
2012-05-18,8,c0009_0027,0.014224790133182523,0.013016438356164384,0.0012083517770181394
2012-05-18,9,c0021_0048,0.014103976748834788,0.013016438356164384,0.0010875383926704043
2012-05-18,10,c0014_0019,0.013745635895739728,0.013016438356164384,0.0007291975395753444
2012-05-18,11,c0017_0040,0.013634797911687997,0.013016438356164384,0.0006183595555236128
2012-05-18,12,c0010_0056,0.01359284898717269,0.013016438356164384,0.0005764106310083059
2012-05-18,13,c0012_0050,0.013545092859661377,0.013016438356164384,0.0005286545034969929
2012-05-18,14,c0017_0019,0.013537437197562077,0.013016438356164384,0.0005209988413976928
2012-05-18,15,c0013_0052,0.01343132066277129,0.013016438356164384,0.00041488230660690506
2012-05-18,16,c0016_0023,0.013346103922458394,0.013016438356164384,0.00032966556629401047
2012-05-18,17,c0029_0052,0.013225157661898194,0.013016438356164384,0.00020871930573380918
2012-05-18,18,c0011_0058,0.013198142124001033,0.013016438356164384,0.00018170376783664872
2012-05-18,19,c0031_0052,0.01133312809058262,0.010413698630136985,0.0009194294604456348
2012-05-18,20,c0014_0024,0.011219116222458027,0.010413698630136985,0.0008054175923210428
2012-05-19,1,c0012_0045,0.029405449444090546,0.028632876712328763,0.0007725727317617819
2012-05-19,2,c0029_0055,0.01867638296710989,0.018221917808219176,0.0004544651588907138
2012-05-19,3,c0015_0045,0.016914472511148502,0.01561917808219178,0.0012952944289567217
2012-05-19,4,c0017_0017,0.016294393868463045,0.01561917808219178,0.0006752157862712656
2012-05-19,5,c0012_0029,0.01602698888089646,0.01561917808219178,0.00040781079870467937
2012-05-19,6,c0031_0060,0.014462347620813863,0.013016438356164384,0.0014459092646494775
2012-05-19,7,c0029_0046,0.014337381672567625,0.013016438356164384,0.0013209433164032406
2012-05-19,8,c0009_0027,0.014211438316450477,0.013016438356164384,0.0011949999602860917
2012-05-19,9,c0021_0048,0.014091959872967868,0.013016438356164384,0.001075521516803483
2012-05-19,10,c0014_0019,0.013737578546799592,0.013016438356164384,0.000721140190635207
2012-05-19,11,c0017_0040,0.013627965279323077,0.013016438356164384,0.0006115269231586935
2012-05-19,12,c0010_0056,0.013586479874093204,0.013016438356164384,0.0005700415179288195
2012-05-19,13,c0012_0050,0.013539251433199721,0.013016438356164384,0.0005228130770353363
2012-05-19,14,c0017_0019,0.013531680363186315,0.013016438356164384,0.0005152420070219307
2012-05-19,15,c0013_0052,0.013426736374794444,0.013016438356164384,0.0004102980186300591
2012-05-19,16,c0016_0023,0.013342461246287648,0.013016438356164384,0.000326022890123263
2012-05-19,17,c0029_0052,0.013222851394822993,0.013016438356164384,0.0002064130386586078
2012-05-19,18,c0011_0058,0.013196134368102611,0.013016438356164384,0.00017969601193822625
2012-05-19,19,c0031_0052,0.011322968752972996,0.010413698630136985,0.0009092701228360115
2012-05-19,20,c0014_0024,0.011210216671607053,0.010413698630136985,0.0007965180414700689
2012-05-20,1,c0012_0045,0.029396912816162447,0.028632876712328763,0.0007640361038336834
2012-05-20,2,c0029_0055,0.01867136130402467,0.018221917808219176,0.0004494434958054958
2012-05-20,3,c0015_0045,0.01690016001195878,0.01561917808219178,0.0012809819297669987
2012-05-20,4,c0017_0017,0.01628693299688215,0.01561917808219178,0.00066775491469037
