forecast_date,display_time,theta,omega,refits,state_updates,actual_events_in_window
2012-07-25,2012-07-26T00:00:00,0.05,0.011111111111111112,10,191,7
2012-07-26,2012-07-27T00:00:00,0.05,0.011111111111111112,10,198,2
2012-07-27,2012-07-28T00:00:00,0.05,0.011111111111111112,10,200,3
2012-07-28,2012-07-29T00:00:00,0.05,0.011111111111111112,10,203,2
2012-07-29,2012-07-30T00:00:00,0.05,0.011111111111111112,10,205,1
2012-07-30,2012-07-31T00:00:00,0.05,0.011111111111111112,10,206,2
2012-07-31,2012-08-01T00:00:00,0.05,0.011111111111111112,10,208,2
2012-08-01,2012-08-02T00:00:00,0.05,0.011111111111111112,11,210,1
2012-08-02,2012-08-03T00:00:00,0.05,0.011111111111111112,11,211,4
2012-08-03,2012-08-04T00:00:00,0.05,0.011111111111111112,11,215,4
2012-08-04,2012-08-05T00:00:00,0.05,0.011111111111111112,11,219,1
2012-08-05,2012-08-06T00:00:00,0.05,0.011111111111111112,11,220,5
2012-08-06,2012-08-07T00:00:00,0.05,0.011111111111111112,11,225,6
2012-08-07,2012-08-08T00:00:00,0.05,0.011111111111111112,11,231,0
2012-08-08,2012-08-09T00:00:00,0.05,0.011111111111111112,12,231,2
2012-08-09,2012-08-10T00:00:00,0.05,0.011111111111111112,12,233,2
2012-08-10,2012-08-11T00:00:00,0.05,0.011111111111111112,12,235,3
2012-08-11,2012-08-12T00:00:00,0.05,0.011111111111111112,12,238,4
2012-08-12,2012-08-13T00:00:00,0.05,0.011111111111111112,12,242,2
2012-08-13,2012-08-14T00:00:00,0.05,0.011111111111111112,12,244,3
2012-08-14,2012-08-15T00:00:00,0.05,0.011111111111111112,12,247,7
2012-08-15,2012-08-16T00:00:00,0.05,0.011111111111111112,13,254,3
2012-08-16,2012-08-17T00:00:00,0.05,0.011111111111111112,13,257,2
2012-08-17,2012-08-18T00:00:00,0.05,0.011111111111111112,13,259,9
2012-08-18,2012-08-19T00:00:00,0.05,0.011111111111111112,13,268,1
2012-08-19,2012-08-20T00:00:00,0.05,0.011111111111111112,13,269,3
2012-08-20,2012-08-21T00:00:00,0.05,0.011111111111111112,13,272,5
2012-08-21,2012-08-22T00:00:00,0.05,0.011111111111111112,13,277,6
2012-08-22,2012-08-23T00:00:00,0.05,0.011111111111111112,14,283,1
2012-08-23,2012-08-24T00:00:00,0.05,0.011111111111111112,14,284,3
2012-08-24,2012-08-25T00:00:00,0.05,0.011111111111111112,14,287,5
2012-08-25,2012-08-26T00:00:00,0.05,0.011111111111111112,14,292,0
2012-08-26,2012-08-27T00:00:00,0.05,0.011111111111111112,14,292,0
2012-08-27,2012-08-28T00:00:00,0.05,0.011111111111111112,14,292,6
2012-08-28,2012-08-29T00:00:00,0.05,0.011111111111111112,14,298,2
2012-08-29,2012-08-30T00:00:00,0.05,0.011111111111111112,15,300,4
2012-08-30,2012-08-31T00:00:00,0.05,0.011111111111111112,15,304,2
2012-08-31,2012-09-01T00:00:00,0.05,0.011111111111111112,15,306,3
2012-09-01,2012-09-02T00:00:00,0.05,0.011111111111111112,15,309,3
2012-09-02,2012-09-03T00:00:00,0.05,0.011111111111111112,15,312,3
2012-09-03,2012-09-04T00:00:00,0.05,0.011111111111111112,15,315,2
2012-09-04,2012-09-05T00:00:00,0.05,0.011111111111111112,15,317,3
2012-09-05,2012-09-06T00:00:00,0.05,0.011111111111111112,16,320,2
2012-09-06,2012-09-07T00:00:00,0.05,0.011111111111111112,16,322,1
