forecast_date,rank,cell_id,risk,background,trigger
2012-05-16,1,c0014_0024,0.04230788548607832,0.03904383561643836,0.00326404986963996
2012-05-16,2,c0012_0029,0.04100910917606758,0.03904383561643836,0.001965273559629225
2012-05-16,3,c0016_0021,0.032403801901113805,0.031235616438356158,0.0011681854627576453
2012-05-16,4,c0016_0052,0.030356867584210752,0.028632876712328763,0.0017239908718819873
2012-05-16,5,c0016_0017,0.026971993733065493,0.02603013698630137,0.0009418567467641254
2012-05-16,6,c0029_0058,0.02573927603455184,0.023427397260273968,0.0023118787742778713
2012-05-16,7,c0022_0006,0.024963311576440612,0.023427397260273968,0.0015359143161666428
2012-05-16,8,c0012_0038,0.022657540234813606,0.020824657534246574,0.0018328827005670322
2012-05-16,9,c0023_0058,0.019865036713326966,0.018221917808219176,0.0016431189051077913
2012-05-16,10,c0009_0027,0.019024043902968458,0.018221917808219176,0.0008021260947492807
2012-05-16,11,c0010_0054,0.01673370630715368,0.01561917808219178,0.001114528224961898
2012-05-16,12,c0014_0022,0.016577537871712008,0.01561917808219178,0.0009583597895202279
2012-05-16,13,c0017_0045,0.016351180631426196,0.01561917808219178,0.000732002549234415
2012-05-16,14,c0010_0029,0.016218960776388583,0.01561917808219178,0.0005997826941968036
2012-05-16,15,c0021_0024,0.014051662500478077,0.013016438356164384,0.0010352241443136918
2012-05-16,16,c0015_0039,0.013997737405681328,0.013016438356164384,0.000981299049516945
2012-05-16,17,c0019_0033,0.01395315979731469,0.013016438356164384,0.0009367214411503045
2012-05-16,18,c0024_0064,0.013828031818386594,0.013016438356164384,0.0008115934622222103
2012-05-16,19,c0016_0050,0.013818280573669295,0.013016438356164384,0.0008018422175049109
2012-05-16,20,c0018_0039,0.013731973617498245,0.013016438356164384,0.0007155352613338615
2012-05-17,1,c0014_0024,0.04227181900569357,0.03904383561643836,0.0032279833892552147
2012-05-17,2,c0012_0029,0.04098739366830273,0.03904383561643836,0.0019435580518643743
2012-05-17,3,c0016_0021,0.03239089390651783,0.031235616438356158,0.001155277468161674
2012-05-17,4,c0016_0052,0.030337818156215623,0.028632876712328763,0.0017049414438868595
2012-05-17,5,c0016_0017,0.026961586582672857,0.02603013698630137,0.0009314495963714892
2012-05-17,6,c0029_0058,0.025713730674096425,0.023427397260273968,0.0022863334138224565
2012-05-17,7,c0022_0006,0.02494634032116908,0.023427397260273968,0.00151894306089511
2012-05-17,8,c0012_0038,0.022637287594502436,0.020824657534246574,0.0018126300602558623
2012-05-17,9,c0023_0058,0.01984688088908173,0.018221917808219176,0.0016249630808625535
2012-05-17,10,c0009_0027,0.01901518072188429,0.018221917808219176,0.0007932629136651148
2012-05-17,11,c0010_0054,0.016721391204146913,0.01561917808219178,0.0011022131219551332
2012-05-17,12,c0014_0022,0.01656694836912145,0.01561917808219178,0.000947770286929671
2012-05-17,13,c0017_0045,0.016343092288221298,0.01561917808219178,0.0007239142060295182
2012-05-17,14,c0010_0029,0.01621233341110947,0.01561917808219178,0.0005931553289176865
2012-05-17,15,c0021_0024,0.014040223676689877,0.013016438356164384,0.001023785320525493
2012-05-17,16,c0015_0039,0.013986894433197923,0.013016438356164384,0.0009704560770335385
2012-05-17,17,c0019_0033,0.013942809390049942,0.013016438356164384,0.0009263710338855576
2012-05-17,18,c0024_0064,0.01381906402657744,0.013016438356164384,0.0008026256704130569
2012-05-17,19,c0016_0050,0.013809420529318168,0.013016438356164384,0.0007929821731537834
2012-05-17,20,c0018_0039,0.013724067231414035,0.013016438356164384,0.0007076288752496507
2012-05-18,1,c0014_0024,0.042236151045876615,0.03904383561643836,0.003192315429438259
2012-05-18,2,c0012_0029,0.040965918108444965,0.03904383561643836,0.00192208249200661
2012-05-18,3,c0016_0021,0.03237812854023714,0.031235616438356158,0.0011425121018809846
2012-05-18,4,c0016_0052,0.030318979216984017,0.028632876712328763,0.0016861025046552517
2012-05-18,5,c0016_0017,0.02695129442724062,0.02603013698630137,0.000921157440939251
2012-05-18,6,c0029_0058,0.02568846757992939,0.023427397260273968,0.002261070319655421
2012-05-18,7,c0022_0006,0.02492955659166149,0.023427397260273968,0.0015021593313875208
2012-05-18,8,c0012_0038,0.022617258737982475,0.020824657534246574,0.0017926012037359008
2012-05-18,9,c0023_0058,0.01982892567962645,0.018221917808219176,0.0016070078714072737
2012-05-18,10,c0009_0027,0.019006415475500724,0.018221917808219176,0.0007844976672815465
2012-05-18,11,c0010_0054,0.01670921217823418,0.01561917808219178,0.0010900340960423984
2012-05-18,12,c0014_0022,0.01655647587641209,0.01561917808219178,0.0009372977942203107
2012-05-18,13,c0017_0045,0.016335093318060073,0.01561917808219178,0.0007159152358682927
2012-05-18,14,c0010_0029,0.01620577927563669,0.01561917808219178,0.0005866011934449107
2012-05-18,15,c0021_0024,0.014028911247451474,0.013016438356164384,0.0010124728912870894
2012-05-18,16,c0015_0039,0.013976171271339355,0.013016438356164384,0.0009597329151749706
2012-05-18,17,c0019_0033,0.01393257335075612,0.013016438356164384,0.0009161349945917356
2012-05-18,18,c0024_0064,0.013810195325376673,0.013016438356164384,0.0007937569692122881
2012-05-18,19,c0016_0050,0.01380065838500796,0.013016438356164384,0.0007842200288435747
2012-05-18,20,c0018_0039,0.013716248207818147,0.013016438356164384,0.0006998098516537625
2012-05-19,1,c0014_0024,0.042200877203130316,0.03904383561643836,0.0031570415866919617
2012-05-19,2,c0012_0029,0.040944679845163326,0.03904383561643836,0.0019008442287249698
2012-05-19,3,c0016_0021,0.032365504226284376,0.031235616438356158,0.0011298877879282177
2012-05-19,4,c0016_0052,0.030300348440697032,0.028632876712328763,0.0016674717283682694
2012-05-19,5,c0016_0017,0.026941115996119234,0.02603013698630137,0.0009109790098178657
2012-05-19,6,c0029_0058,0.02566348363311813,0.023427397260273968,0.002236086372844162
2012-05-19,7,c0022_0006,0.024912958315831155,0.023427397260273968,0.001485561055557187
2012-05-19,8,c0012_0038,0.022597451192529948,0.020824657534246574,0.0017727936582833733
2012-05-19,9,c0023_0058,0.0198111688682458,0.018221917808219176,0.0015892510600266211
2012-05-19,10,c0009_0027,0.018997747081677435,0.018221917808219176,0.0007758292734582595
2012-05-19,11,c0010_0054,0.01669716772581656,0.01561917808219178,0.0010779896436247788
2012-05-19,12,c0014_0022,0.016546119100670293,0.01561917808219178,0.0009269410184785111
2012-05-19,13,c0017_0045,0.01632718273340518,0.01561917808219178,0.0007080046512133982
2012-05-19,14,c0010_0029,0.016199297560809404,0.01561917808219178,0.0005801194786176239
2012-05-19,15,c0021_0024,0.014017723816152294,0.013016438356164384,0.0010012854599879102
2012-05-19,16,c0015_0039,0.013965566596244863,0.013016438356164384,0.0009491282400804782
2012-05-19,17,c0019_0033,0.013922450415711668,0.013016438356164384,0.0009060120595472826
2012-05-19,18,c0024_0064,0.013801424619871641,0.013016438356164384,0.0007849862637072563
