forecast_date,rank,cell_id,risk,background,trigger
2012-05-16,1,c0062_0026,0.0440272590597983,0.04164657534246575,0.00238068371733255
2012-05-16,2,c0052_0035,0.0239207292339722,0.023427397260273968,0.0004933319736982342
2012-05-16,3,c0038_0033,0.02148973909192475,0.020824657534246574,0.0006650815576781753
2012-05-16,4,c0036_0036,0.01897438090785989,0.018221917808219176,0.0007524630996407141
2012-05-16,5,c0042_0019,0.018357050867838395,0.018221917808219176,0.0001351330596192183
2012-05-16,6,c0023_0030,0.016740024198981737,0.01561917808219178,0.001120846116789956
2012-05-16,7,c0019_0017,0.01668984021098527,0.01561917808219178,0.0010706621287934874
2012-05-16,8,c0020_0020,0.016356112035160415,0.01561917808219178,0.0007369339529686341
2012-05-16,9,c0030_0019,0.014245792167736838,0.013016438356164384,0.0012293538115724539
2012-05-16,10,c0018_0032,0.013921109429529043,0.013016438356164384,0.0009046710733646587
2012-05-16,11,c0062_0007,0.013907479204421272,0.013016438356164384,0.000891040848256888
2012-05-16,12,c0018_0036,0.01353731968959007,0.013016438356164384,0.0005208813334256848
2012-05-16,13,c0051_0019,0.01343698359878529,0.013016438356164384,0.000420545242620906
2012-05-16,14,c0016_0038,0.01339556558307943,0.013016438356164384,0.00037912722691504615
2012-05-16,15,c0036_0035,0.013355734413890912,0.013016438356164384,0.00033929605772652755
2012-05-16,16,c0018_0034,0.010995686290833797,0.010413698630136985,0.000581987660696812
2012-05-16,17,c0033_0027,0.010982201521327242,0.010413698630136985,0.0005685028911902578
2012-05-16,18,c0054_0026,0.010910608421980278,0.010413698630136985,0.000496909791843293
2012-05-16,19,c0030_0035,0.010861991168746908,0.010413698630136985,0.0004482925386099229
2012-05-16,20,c0038_0035,0.010819037350998883,0.010413698630136985,0.0004053387208618974
2012-05-17,1,c0062_0026,0.04400095343150748,0.04164657534246575,0.0023543780890417274
2012-05-17,2,c0052_0035,0.023915278107713975,0.023427397260273968,0.0004878808474400077
2012-05-17,3,c0038_0033,0.021482390199624612,0.020824657534246574,0.0006577326653780397
2012-05-17,4,c0036_0036,0.01896606648353817,0.018221917808219176,0.0007441486753189957
2012-05-17,5,c0042_0019,0.018355557700136083,0.018221917808219176,0.00013363989191690477
2012-05-17,6,c0023_0030,0.01672763928572979,0.01561917808219178,0.0011084612035380085
2012-05-17,7,c0019_0017,0.01667800981126436,0.01561917808219178,0.001058831729072579
2012-05-17,8,c0020_0020,0.01634796920186402,0.01561917808219178,0.0007287911196722397
2012-05-17,9,c0030_0019,0.01423220828669893,0.013016438356164384,0.0012157699305345455
2012-05-17,10,c0018_0032,0.013911113166351314,0.013016438356164384,0.0008946748101869298
2012-05-17,11,c0062_0007,0.01389763354992482,0.013016438356164384,0.0008811951937604363
2012-05-17,12,c0018_0036,0.013531564153631652,0.013016438356164384,0.0005151257974672684
2012-05-17,13,c0051_0019,0.013432336737570036,0.013016438356164384,0.000415898381405652
2012-05-17,14,c0016_0038,0.013391376374813944,0.013016438356164384,0.00037493801864956015
2012-05-17,15,c0036_0035,0.013351985324538927,0.013016438356164384,0.0003355469683745426
2012-05-17,16,c0018_0034,0.010989255553747357,0.010413698630136985,0.0005755569236103714
2012-05-17,17,c0033_0027,0.01097591978569431,0.010413698630136985,0.0005622211555573259
2012-05-17,18,c0054_0026,0.010905117762224371,0.010413698630136985,0.0004914191320873866
2012-05-17,19,c0030_0035,0.010857037710712829,0.010413698630136985,0.000443339080575844
2012-05-17,20,c0038_0035,0.01081455851592926,0.010413698630136985,0.00040085988579227394
2012-05-18,1,c0062_0026,0.043974938470168645,0.04164657534246575,0.0023283631277028973
2012-05-18,2,c0052_0035,0.02390988721427881,0.023427397260273968,0.00048248995400484437
2012-05-18,3,c0038_0033,0.021475122509723516,0.020824657534246574,0.0006504649754769415
2012-05-18,4,c0036_0036,0.018957843930368454,0.018221917808219176,0.0007359261221492773
2012-05-18,5,c0042_0019,0.018354081031355596,0.018221917808219176,0.00013216322313642066
2012-05-18,6,c0023_0030,0.016715391220947902,0.01561917808219178,0.0010962131387561229
2012-05-18,7,c0019_0017,0.016666310132854863,0.01561917808219178,0.001047132050663084
2012-05-18,8,c0020_0020,0.016339916343705595,0.01561917808219178,0.0007207382615138149
2012-05-18,9,c0030_0019,0.014218774502258369,0.013016438356164384,0.0012023361460939837
