model,model_label,frame_index,forecast_date,q,tp,fp,tn,fn,accuracy,recall_tpr,specificity_tnr,precision_ppv,fpr,fnr,f1,balanced_accuracy,mcc
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,0,2020-01-01,0.01,23,547,56224,133,0.988054877298997,0.14743589743589744,0.9903647989290306,0.04035087719298246,0.009635201070969332,0.8525641025641025,0.06336088154269973,0.568900348182464,0.07235451260604017
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,0,2020-01-01,0.05,67,2780,53991,89,0.9496021220159151,0.42948717948717946,0.9510313364217646,0.023533544081489288,0.048968663578235365,0.5705128205128205,0.044622044622044624,0.6902592579544721,0.09126185467452226
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,0,2020-01-01,0.1,94,5599,51172,62,0.9005568535141497,0.6025641025641025,0.901375702383259,0.016511505357456525,0.09862429761674094,0.3974358974358974,0.03214224653786972,0.7519699024736808,0.08781212985678932
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,1,2020-01-15,0.01,30,540,56221,136,0.98812514272665,0.18072289156626506,0.9904864255386621,0.05263157894736842,0.00951357446133789,0.8192771084337349,0.08152173913043478,0.5856046585524636,0.0927246274186396
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,1,2020-01-15,0.05,73,2774,53987,93,0.9496372547297416,0.4397590361445783,0.9511284156374976,0.02564102564102564,0.04887158436250242,0.5602409638554217,0.048456687686691,0.695443725891038,0.09669827283218042
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,1,2020-01-15,0.1,96,5597,51164,70,0.9004514553726702,0.5783132530120482,0.9013935624812811,0.01686281398208326,0.09860643751871884,0.42168674698795183,0.03277009728622632,0.7398534077466646,0.08621944600613306
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,2,2020-01-29,0.01,29,541,56208,149,0.9878792137298645,0.16292134831460675,0.9904667923663854,0.05087719298245614,0.009533207633614689,0.8370786516853933,0.07754010695187166,0.576694070340496,0.08601407625541045
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,2,2020-01-29,0.05,78,2769,53980,100,0.9496021220159151,0.43820224719101125,0.9512061886553067,0.0273972602739726,0.0487938113446933,0.5617977528089888,0.051570247933884296,0.694704217923159,0.09974299119354532
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,2,2020-01-29,0.1,107,5586,51163,71,0.9006271189418027,0.601123595505618,0.9015665474281486,0.0187950114175303,0.09843345257185149,0.398876404494382,0.03645034917390564,0.7513450714668832,0.09354913005101623
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,3,2020-02-12,0.01,20,550,56220,137,0.9879319128006043,0.12738853503184713,0.9903117843931654,0.03508771929824561,0.009688215606834596,0.8726114649681529,0.055020632737276476,0.5588501597125063,0.06199769648074426
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,3,2020-02-12,0.05,62,2785,53985,95,0.9494088920898694,0.39490445859872614,0.950942399154483,0.021777309448542326,0.049057600845516997,0.6050955414012739,0.041278295605858856,0.6729234288766046,0.08321105579807098
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,3,2020-02-12,0.1,88,5605,51165,69,0.9003284908742776,0.5605095541401274,0.901268275497622,0.015457579483576322,0.09873172450237802,0.4394904458598726,0.03008547008547009,0.7308889148188746,0.0807221327196499
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,4,2020-02-26,0.01,15,555,56209,148,0.9876508510899924,0.09202453987730061,0.9902226763441618,0.02631578947368421,0.009777323655838208,0.9079754601226994,0.04092769440654843,0.5411236081107312,0.044140794337389926
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,4,2020-02-26,0.05,52,2795,53969,111,0.9489521668101253,0.31901840490797545,0.9507610457332112,0.0182648401826484,0.04923895426678881,0.6809815950920245,0.0345514950166113,0.6348897253205933,0.06613434990428685
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,4,2020-02-26,0.1,90,5603,51161,73,0.9002933581604511,0.5521472392638037,0.9012930730744838,0.015808888108203058,0.09870692692551618,0.44785276073619634,0.03073770491803279,0.7267201561691438,0.08076081662616
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,5,2020-03-11,0.01,34,536,56223,134,0.9882305408681293,0.20238095238095238,0.9905565637167674,0.05964912280701754,0.009443436283232616,0.7976190476190477,0.09214092140921408,0.5964687580488599,0.10511805835793367
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,5,2020-03-11,0.05,76,2771,53988,92,0.9497075201573946,0.4523809523809524,0.9511795486178404,0.026694766420793818,0.04882045138215966,0.5476190476190477,0.05041459369817579,0.7017802504993964,0.10043118476216259
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,5,2020-03-11,0.1,99,5594,51165,69,0.9005217208003232,0.5892857142857143,0.901442942969397,0.017389776919023364,0.09855705703060308,0.4107142857142857,0.03378263095034977,0.7453643286275556,0.08872861551269053
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,6,2020-03-25,0.01,21,549,56216,141,0.9878792137298645,0.12962962962962962,0.9903285475204792,0.03684210526315789,0.009671452479520832,0.8703703703703703,0.057377049180327856,0.5599790885750544,0.06418245499140177
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,6,2020-03-25,0.05,54,2793,53972,108,0.9490399985946915,0.3333333333333333,0.9507971461287765,0.018967334035827187,0.049202853871223466,0.6666666666666666,0.03589232303090728,0.6420652397310549,0.06943901912839535
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,6,2020-03-25,0.1,93,5600,51165,69,0.9004163226588437,0.5740740740740741,0.9013476614110808,0.01633585104514316,0.09865233858891923,0.42592592592592593,0.031767719897523486,0.7377108677425774,0.08441646028565293
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,7,2020-04-08,0.01,17,553,56229,128,0.9880373109420837,0.11724137931034483,0.9902609982036561,0.02982456140350877,0.009739001796343912,0.8827586206896552,0.04755244755244755,0.5537511887570005,0.05442470100449313
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,7,2020-04-08,0.05,53,2794,53988,92,0.9493034939483901,0.36551724137931035,0.950794265788454,0.018616087109237796,0.049205734211545914,0.6344827586206897,0.03542780748663102,0.6581557535838822,0.07314628272003726
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,7,2020-04-08,0.1,75,5618,51164,70,0.9000825618774922,0.5172413793103449,0.9010601951322602,0.013174073423502547,0.09893980486773978,0.4827586206896552,0.025693730729701953,0.7091507872213025,0.07027957380476826
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,8,2020-04-22,0.01,24,546,56219,138,0.987984611871344,0.14814814814814814,0.9903813969875803,0.042105263157894736,0.009618603012419624,0.8518518518518519,0.06557377049180328,0.5692647725678642,0.07411888465533582
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,8,2020-04-22,0.05,66,2781,53984,96,0.9494615911606092,0.4074074074074074,0.9510085439971814,0.023182297154899896,0.04899145600281864,0.5925925925925926,0.04386839481555334,0.6792079757022944,0.08759374267984579
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,8,2020-04-22,0.1,89,5604,51161,73,0.9002757918035379,0.5493827160493827,0.9012771954549458,0.01563323379588969,0.09872280454505417,0.4506172839506173,0.030401366353543985,0.7253299557521642,0.08001972077069437
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,9,2020-05-06,0.01,22,548,56219,138,0.9879494791575175,0.1375,0.9903465041309212,0.03859649122807018,0.009653495869078866,0.8625,0.06027397260273973,0.5639232520654606,0.06798067287467278
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,9,2020-05-06,0.05,63,2784,53983,97,0.9493913257329563,0.39375,0.9509574224461395,0.022128556375131718,0.04904257755386052,0.60625,0.041902228134353174,0.6723537112230697,0.08372333566980995
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,9,2020-05-06,0.1,92,5601,51166,68,0.9004163226588437,0.575,0.9013335212359294,0.01616019673282979,0.09866647876407067,0.425,0.03143686998120623,0.7381667606179647,0.08405612876581062
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,10,2020-05-20,0.01,25,545,56197,160,0.987615718376166,0.13513513513513514,0.9903951217792817,0.043859649122807015,0.009604878220718338,0.8648648648648649,0.0662251655629139,0.5627651284572084,0.07175881204341832
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,10,2020-05-20,0.05,59,2788,53954,126,0.9488116359548193,0.31891891891891894,0.9508653202213528,0.02072356866877415,0.04913467977864721,0.6810810810810811,0.038918205804749334,0.6348921195701359,0.07044378507369167
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,10,2020-05-20,0.1,97,5596,51146,88,0.9001528273051452,0.5243243243243243,0.9013781678474498,0.017038468294396626,0.09862183215255015,0.4756756756756757,0.033004423273222186,0.7128512460858871,0.08075969176237248
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,11,2020-06-03,0.01,20,550,56223,134,0.987984611871344,0.12987012987012986,0.9903122963380481,0.03508771929824561,0.009687703661951983,0.8701298701298701,0.05524861878453038,0.5600912131040889,0.06269903957425906
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,11,2020-06-03,0.05,57,2790,53983,97,0.9492859275914768,0.37012987012987014,0.9508569214239163,0.020021074815595362,0.0491430785760837,0.6298701298701299,0.03798733755414861,0.6604933957768933,0.07649030084662081
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,11,2020-06-03,0.1,78,5615,51158,76,0.9000298628067525,0.5064935064935064,0.9010973526147993,0.01370103636044265,0.09890264738520071,0.4935064935064935,0.026680348896870192,0.7037954295541529,0.0705677050942507
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,12,2020-06-17,0.01,31,539,56187,170,0.987545452948513,0.15422885572139303,0.9904981842541339,0.054385964912280704,0.009501815745866093,0.845771144278607,0.08041504539559013,0.5723635199877635,0.08622385336274904
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,12,2020-06-17,0.05,86,2761,53965,115,0.9494791575175224,0.42786069651741293,0.9513274336283186,0.03020723568668774,0.048672566371681415,0.572139303482587,0.056430446194225714,0.6895940650728658,0.10318861134427701
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,12,2020-06-17,0.1,110,5583,51143,91,0.9003284908742776,0.5472636815920398,0.9015795226174946,0.019321974354470403,0.09842047738250538,0.4527363184079602,0.037326094333220226,0.7244216021047671,0.08874298631778295
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,13,2020-07-01,0.01,25,545,56177,180,0.9872643912379012,0.12195121951219512,0.9903917351292267,0.043859649122807015,0.009608264870773245,0.8780487804878049,0.06451612903225806,0.5561714773207109,0.0675907365164303
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,13,2020-07-01,0.05,65,2782,53940,140,0.9486711050995134,0.3170731707317073,0.9509537745495575,0.0228310502283105,0.04904622545044251,0.6829268292682927,0.04259501965923984,0.6340134726406325,0.07365785710440192
