model,model_label,frame_index,forecast_date,q,rri
our_vol3,Our vol3 STNPP-GAT-ZINB,0,2020-01-01,0.01,1.1416184971098264
our_vol3,Our vol3 STNPP-GAT-ZINB,1,2020-01-15,0.01,0.7731843575418994
our_vol3,Our vol3 STNPP-GAT-ZINB,2,2020-01-29,0.01,0.8443396226415094
our_vol3,Our vol3 STNPP-GAT-ZINB,3,2020-02-12,0.01,0.8044642857142857
our_vol3,Our vol3 STNPP-GAT-ZINB,4,2020-02-26,0.01,2.1124260355029585
our_vol3,Our vol3 STNPP-GAT-ZINB,5,2020-03-11,0.01,0.5952800281789362
our_vol3,Our vol3 STNPP-GAT-ZINB,6,2020-03-25,0.01,0.9606903163950142
our_vol3,Our vol3 STNPP-GAT-ZINB,7,2020-04-08,0.01,1.1037037037037036
our_vol3,Our vol3 STNPP-GAT-ZINB,8,2020-04-22,0.01,0.7646341463414634
our_vol3,Our vol3 STNPP-GAT-ZINB,9,2020-05-06,0.01,0.9809063722107201
our_vol3,Our vol3 STNPP-GAT-ZINB,10,2020-05-20,0.01,0.984863523573201
our_vol3,Our vol3 STNPP-GAT-ZINB,11,2020-06-03,0.01,1.233632862644416
our_vol3,Our vol3 STNPP-GAT-ZINB,12,2020-06-17,0.01,0.7835193395505273
our_vol3,Our vol3 STNPP-GAT-ZINB,13,2020-07-01,0.01,1.08371854134566
our_vol3,Our vol3 STNPP-GAT-ZINB,14,2020-07-15,0.01,1.041516835567179
our_vol3,Our vol3 STNPP-GAT-ZINB,15,2020-07-29,0.01,0.8408602150537634
our_vol3,Our vol3 STNPP-GAT-ZINB,16,2020-08-12,0.01,1.0828343313373254
our_vol3,Our vol3 STNPP-GAT-ZINB,17,2020-08-26,0.01,0.799043062200957
our_vol3,Our vol3 STNPP-GAT-ZINB,18,2020-09-09,0.01,1.0823084200567643
our_vol3,Our vol3 STNPP-GAT-ZINB,19,2020-09-23,0.01,1.1111111111111112
our_vol3,Our vol3 STNPP-GAT-ZINB,20,2020-10-07,0.01,1.0413793103448277
our_vol3,Our vol3 STNPP-GAT-ZINB,21,2020-10-21,0.01,0.7170909090909091
our_vol3,Our vol3 STNPP-GAT-ZINB,22,2020-11-04,0.01,1.174922600619195
our_vol3,Our vol3 STNPP-GAT-ZINB,23,2020-11-18,0.01,1.4921465968586387
our_vol3,Our vol3 STNPP-GAT-ZINB,24,2020-12-02,0.01,0.7463366981439271
our_vol3,Our vol3 STNPP-GAT-ZINB,25,2020-12-16,0.01,1.2727272727272727
our_vol3,Our vol3 STNPP-GAT-ZINB,26,2020-12-30,0.01,0.6148148148148148
our_vol3,Our vol3 STNPP-GAT-ZINB,27,2021-01-13,0.01,1.7241379310344829
our_vol3,Our vol3 STNPP-GAT-ZINB,28,2021-01-27,0.01,0.7258064516129032
our_vol3,Our vol3 STNPP-GAT-ZINB,29,2021-02-10,0.01,0.6022857142857142
our_vol3,Our vol3 STNPP-GAT-ZINB,30,2021-02-24,0.01,1.3257575757575757
our_vol3,Our vol3 STNPP-GAT-ZINB,31,2021-03-10,0.01,0.8275862068965517
our_vol3,Our vol3 STNPP-GAT-ZINB,32,2021-03-24,0.01,1.2200704225352113
our_vol3,Our vol3 STNPP-GAT-ZINB,33,2021-04-07,0.01,0.5922150139017609
our_vol3,Our vol3 STNPP-GAT-ZINB,34,2021-04-21,0.01,0.7550357374918779
our_vol3,Our vol3 STNPP-GAT-ZINB,35,2021-05-05,0.01,1.6982429335370512
our_vol3,Our vol3 STNPP-GAT-ZINB,36,2021-05-19,0.01,0.9440613026819923
our_vol3,Our vol3 STNPP-GAT-ZINB,37,2021-06-02,0.01,1.1674718196457328
our_vol3,Our vol3 STNPP-GAT-ZINB,38,2021-06-16,0.01,0.6670097786927431
our_vol3,Our vol3 STNPP-GAT-ZINB,39,2021-06-30,0.01,1.0138713745271124
our_vol3,Our vol3 STNPP-GAT-ZINB,40,2021-07-14,0.01,1.2327844311377245
our_vol3,Our vol3 STNPP-GAT-ZINB,41,2021-07-28,0.01,1.0372670807453415
our_vol3,Our vol3 STNPP-GAT-ZINB,42,2021-08-11,0.01,0.7460611677479149
our_vol3,Our vol3 STNPP-GAT-ZINB,43,2021-08-25,0.01,1.6007142857142858
our_vol3,Our vol3 STNPP-GAT-ZINB,44,2021-09-08,0.01,0.7835820895522388
our_vol3,Our vol3 STNPP-GAT-ZINB,45,2021-09-22,0.01,1.1132307692307692
our_vol3,Our vol3 STNPP-GAT-ZINB,46,2021-10-06,0.01,0.9236453201970443
our_vol3,Our vol3 STNPP-GAT-ZINB,47,2021-10-20,0.01,1.219430485762144
our_vol3,Our vol3 STNPP-GAT-ZINB,48,2021-11-03,0.01,0.6834403464237718
our_vol3,Our vol3 STNPP-GAT-ZINB,49,2021-11-17,0.01,1.0108759553203999
our_vol3,Our vol3 STNPP-GAT-ZINB,50,2021-12-01,0.01,1.0769230769230769
our_vol3,Our vol3 STNPP-GAT-ZINB,51,2021-12-15,0.01,0.7258536585365855
our_vol3,Our vol3 STNPP-GAT-ZINB,52,2021-12-29,0.01,1.689676488769833
our_vol3,Our vol3 STNPP-GAT-ZINB,53,2022-01-12,0.01,0.5582010582010581
our_vol3,Our vol3 STNPP-GAT-ZINB,54,2022-01-26,0.01,1.05
our_vol3,Our vol3 STNPP-GAT-ZINB,55,2022-02-09,0.01,1.2455977757182575
our_vol3,Our vol3 STNPP-GAT-ZINB,56,2022-02-23,0.01,0.6045785639958376
our_vol3,Our vol3 STNPP-GAT-ZINB,57,2022-03-09,0.01,1.4160322436184505
our_vol3,Our vol3 STNPP-GAT-ZINB,58,2022-03-23,0.01,0.7824295587453483
our_vol3,Our vol3 STNPP-GAT-ZINB,59,2022-04-06,0.01,0.9577235772357724
our_vol3,Our vol3 STNPP-GAT-ZINB,60,2022-04-20,0.01,1.0826434484727376
our_vol3,Our vol3 STNPP-GAT-ZINB,61,2022-05-04,0.01,1.1979783037475347
our_vol3,Our vol3 STNPP-GAT-ZINB,62,2022-05-18,0.01,0.8846761453396526
our_vol3,Our vol3 STNPP-GAT-ZINB,63,2022-06-01,0.01,1.2245535714285716
our_vol3,Our vol3 STNPP-GAT-ZINB,64,2022-06-15,0.01,0.7202634106187406
our_vol3,Our vol3 STNPP-GAT-ZINB,65,2022-06-29,0.01,1.5072007200720072
our_vol3,Our vol3 STNPP-GAT-ZINB,66,2022-07-13,0.01,1.034170734611263
our_vol3,Our vol3 STNPP-GAT-ZINB,67,2022-07-27,0.01,0.8349973725696268
our_vol3,Our vol3 STNPP-GAT-ZINB,68,2022-08-10,0.01,1.0984126984126985
our_vol3,Our vol3 STNPP-GAT-ZINB,69,2022-08-24,0.01,0.9545454545454545
our_vol3,Our vol3 STNPP-GAT-ZINB,70,2022-09-07,0.01,0.797142857142857
our_vol3,Our vol3 STNPP-GAT-ZINB,71,2022-09-21,0.01,0.9863945578231292
our_vol3,Our vol3 STNPP-GAT-ZINB,72,2022-10-05,0.01,0.9557645419714387
our_vol3,Our vol3 STNPP-GAT-ZINB,73,2022-10-19,0.01,1.1565420560747663
our_vol3,Our vol3 STNPP-GAT-ZINB,74,2022-11-02,0.01,0.7676086956521738
our_vol3,Our vol3 STNPP-GAT-ZINB,75,2022-11-16,0.01,1.0645331922771752
our_vol3,Our vol3 STNPP-GAT-ZINB,76,2022-11-30,0.01,1.2371693121693124
our_vol3,Our vol3 STNPP-GAT-ZINB,77,2022-12-14,0.01,0.9044471153846154
our_vol3,Our vol3 STNPP-GAT-ZINB,78,2022-12-28,0.01,0.6790942601369142
our_vol3,Our vol3 STNPP-GAT-ZINB,79,2023-01-11,0.01,1.3369815668202765
our_vol3,Our vol3 STNPP-GAT-ZINB,80,2023-01-25,0.01,1.1360712518555172
our_vol3,Our vol3 STNPP-GAT-ZINB,81,2023-02-08,0.01,0.8860958366064415
our_vol3,Our vol3 STNPP-GAT-ZINB,82,2023-02-22,0.01,0.7669316375198728
our_vol3,Our vol3 STNPP-GAT-ZINB,83,2023-03-08,0.01,1.3242105263157897
our_vol3,Our vol3 STNPP-GAT-ZINB,84,2023-03-22,0.01,1.2118796093282838
our_vol3,Our vol3 STNPP-GAT-ZINB,85,2023-04-05,0.01,0.7913093196112064
our_vol3,Our vol3 STNPP-GAT-ZINB,86,2023-04-19,0.01,1.2740384615384617
our_vol3,Our vol3 STNPP-GAT-ZINB,87,2023-05-03,0.01,0.8686635944700462
our_vol3,Our vol3 STNPP-GAT-ZINB,88,2023-05-17,0.01,1.3719343536787756
our_vol3,Our vol3 STNPP-GAT-ZINB,89,2023-05-31,0.01,0.8598265895953756
our_vol3,Our vol3 STNPP-GAT-ZINB,90,2023-06-14,0.01,0.6619897959183673
our_vol3,Our vol3 STNPP-GAT-ZINB,91,2023-06-28,0.01,0.9572649572649571
our_vol3,Our vol3 STNPP-GAT-ZINB,92,2023-07-12,0.01,0.7820855614973261
our_vol3,Our vol3 STNPP-GAT-ZINB,93,2023-07-26,0.01,1.2100000000000002
our_vol3,Our vol3 STNPP-GAT-ZINB,94,2023-08-09,0.01,1.0957642725598526
our_vol3,Our vol3 STNPP-GAT-ZINB,95,2023-08-23,0.01,0.785404339250493
our_vol3,Our vol3 STNPP-GAT-ZINB,96,2023-09-06,0.01,1.9302030456852792
our_vol3,Our vol3 STNPP-GAT-ZINB,97,2023-09-20,0.01,0.8859788359788359
our_vol3,Our vol3 STNPP-GAT-ZINB,98,2023-10-04,0.01,1.0763888888888888
our_vol3,Our vol3 STNPP-GAT-ZINB,99,2023-10-18,0.01,1.1270642201834862
our_vol3,Our vol3 STNPP-GAT-ZINB,100,2023-11-01,0.01,1.0136840706788894
our_vol3,Our vol3 STNPP-GAT-ZINB,101,2023-11-15,0.01,1.0385650224215246
our_vol3,Our vol3 STNPP-GAT-ZINB,102,2023-11-29,0.01,0.862922138836773
our_vol3,Our vol3 STNPP-GAT-ZINB,103,2023-12-13,0.01,0.9316213795162736
our_vol3,Our vol3 STNPP-GAT-ZINB,104,2023-12-27,0.01,1.1573902288188003
our_vol3,Our vol3 STNPP-GAT-ZINB,105,2024-01-10,0.01,0.6563023200191341
our_vol3,Our vol3 STNPP-GAT-ZINB,106,2024-01-24,0.01,1.09014169430208
our_vol3,Our vol3 STNPP-GAT-ZINB,107,2024-02-07,0.01,0.9368961352657005
our_vol3,Our vol3 STNPP-GAT-ZINB,108,2024-02-21,0.01,1.2870466321243523
our_vol3,Our vol3 STNPP-GAT-ZINB,109,2024-03-06,0.01,0.7494026284348865
our_vol3,Our vol3 STNPP-GAT-ZINB,110,2024-03-20,0.01,0.7153846153846154
our_vol3,Our vol3 STNPP-GAT-ZINB,111,2024-04-03,0.01,1.4035087719298247
our_vol3,Our vol3 STNPP-GAT-ZINB,112,2024-04-17,0.01,1.0747206703910615
our_vol3,Our vol3 STNPP-GAT-ZINB,113,2024-05-01,0.01,1.133270022158911
our_vol3,Our vol3 STNPP-GAT-ZINB,114,2024-05-15,0.01,0.8432432432432433
our_vol3,Our vol3 STNPP-GAT-ZINB,115,2024-05-29,0.01,0.9588646647470178
our_vol3,Our vol3 STNPP-GAT-ZINB,116,2024-06-12,0.01,1.0818869603916332
our_vol3,Our vol3 STNPP-GAT-ZINB,117,2024-06-26,0.01,0.7687471935339021
our_vol3,Our vol3 STNPP-GAT-ZINB,118,2024-07-10,0.01,1.3280616382806163
our_vol3,Our vol3 STNPP-GAT-ZINB,119,2024-07-24,0.01,0.9530434782608697
