forecast_date,mae,picp,mpiw,occurrence_f1,true_zero_rate,observed_events,predicted_events
2020-01-01,0.2998161017894745,0.9739837398373984,0.8065040707588196,0.5660377358490566,0.9132149901380671,158.0,179.8105926513672
2020-01-02,0.31115469336509705,0.975609756097561,0.8162601590156555,0.4307692307692308,0.8901734104046243,139.0,179.2789306640625
2020-01-03,0.31547126173973083,0.9739837398373984,0.8097561001777649,0.5112107623318386,0.9107505070993914,173.0,177.65374755859375
2020-01-04,0.3100207448005676,0.9723577235772358,0.8113821148872375,0.44660194174757284,0.8939096267190569,149.0,178.61880493164062
2020-01-05,0.3222470283508301,0.9658536585365853,0.8081300854682922,0.4485981308411215,0.8944223107569721,156.0,175.58221435546875
2020-01-06,0.33809420466423035,0.9544715447154472,0.8113821148872375,0.5583333333333333,0.918918918918919,193.0,180.08642578125
2020-01-07,0.311975359916687,0.9609756097560975,0.7983739972114563,0.5622119815668203,0.9235412474849095,169.0,179.4850616455078
2020-01-08,0.3076392710208893,0.9691056910569106,0.8048780560493469,0.5120772946859904,0.9021526418786693,152.0,174.81900024414062
2020-01-09,0.30614516139030457,0.9723577235772358,0.7983739972114563,0.4834123222748815,0.9027777777777778,158.0,171.50228881835938
2020-01-10,0.33686110377311707,0.9528455284552846,0.7967479825019836,0.5062240663900415,0.9138655462184874,200.0,175.18836975097656
2020-01-11,0.31961148977279663,0.967479674796748,0.7983739972114563,0.5164319248826291,0.9013806706114399,162.0,178.70655822753906
2020-01-12,0.2917647957801819,0.9869918699186991,0.8178861737251282,0.5352112676056338,0.898238747553816,142.0,177.17623901367188
2020-01-13,0.29886603355407715,0.9691056910569106,0.7886179089546204,0.5333333333333333,0.9127789046653144,166.0,173.72793579101562
2020-01-14,0.32048800587654114,0.9560975609756097,0.795121967792511,0.4792626728110599,0.8946322067594433,172.0,174.11001586914062
2020-01-15,0.3227601647377014,0.9626016260162602,0.7788617610931396,0.5114155251141552,0.9149797570850202,173.0,171.40121459960938
2020-01-16,0.3346080183982849,0.9626016260162602,0.7837398648262024,0.48214285714285715,0.9137577002053389,180.0,168.56924438476562
2020-01-17,0.3211858570575714,0.959349593495935,0.795121967792511,0.5627705627705628,0.9200819672131147,185.0,176.42623901367188
2020-01-18,0.3364189565181732,0.959349593495935,0.7918699383735657,0.5429864253393665,0.9190283400809717,184.0,173.9584503173828
2020-01-19,0.28925377130508423,0.967479674796748,0.795121967792511,0.5420560747663551,0.9071146245059288,154.0,173.8048553466797
2020-01-20,0.3196758031845093,0.9658536585365853,0.7934959530830383,0.47577092511013214,0.9075975359342916,184.0,173.85362243652344
2020-01-21,0.3291914761066437,0.9528455284552846,0.7886179089546204,0.5022421524663677,0.9124236252545825,182.0,174.09707641601562
2020-01-22,0.3140243887901306,0.9642276422764228,0.7869918942451477,0.5145631067961165,0.9041095890410958,155.0,169.8099822998047
