model,model_label,frame_index,forecast_date,predicted_events,actual_events,cumulative_predicted_events,cumulative_actual_events,cumulative_error
our_vol3,Our vol3 STNPP-GAT-ZINB,0,2020-01-01,168.29928588867188,158.0,168.29928588867188,158.0,10.299285888671875
our_vol3,Our vol3 STNPP-GAT-ZINB,1,2020-01-15,164.4977569580078,173.0,332.79705810546875,331.0,1.79705810546875
our_vol3,Our vol3 STNPP-GAT-ZINB,2,2020-01-29,165.41168212890625,179.0,498.208740234375,510.0,-11.791259765625
our_vol3,Our vol3 STNPP-GAT-ZINB,3,2020-02-12,168.8457489013672,159.0,667.0545043945312,669.0,-1.94549560546875
our_vol3,Our vol3 STNPP-GAT-ZINB,4,2020-02-26,165.82130432128906,168.0,832.8757934570312,837.0,-4.12420654296875
our_vol3,Our vol3 STNPP-GAT-ZINB,5,2020-03-11,163.11956787109375,169.0,995.995361328125,1006.0,-10.004638671875
our_vol3,Our vol3 STNPP-GAT-ZINB,6,2020-03-25,159.25035095214844,167.0,1155.2457275390625,1173.0,-17.7542724609375
our_vol3,Our vol3 STNPP-GAT-ZINB,7,2020-04-08,162.1227264404297,149.0,1317.368408203125,1322.0,-4.631591796875
our_vol3,Our vol3 STNPP-GAT-ZINB,8,2020-04-22,164.6660919189453,165.0,1482.0345458984375,1487.0,-4.9654541015625
our_vol3,Our vol3 STNPP-GAT-ZINB,9,2020-05-06,166.62269592285156,164.0,1648.6572265625,1651.0,-2.3427734375
our_vol3,Our vol3 STNPP-GAT-ZINB,10,2020-05-20,166.74105834960938,189.0,1815.3983154296875,1840.0,-24.6016845703125
our_vol3,Our vol3 STNPP-GAT-ZINB,11,2020-06-03,170.2577667236328,155.0,1985.6561279296875,1995.0,-9.3438720703125
our_vol3,Our vol3 STNPP-GAT-ZINB,12,2020-06-17,167.2430419921875,205.0,2152.899169921875,2200.0,-47.100830078125
our_vol3,Our vol3 STNPP-GAT-ZINB,13,2020-07-01,172.8543701171875,211.0,2325.75341796875,2411.0,-85.24658203125
our_vol3,Our vol3 STNPP-GAT-ZINB,14,2020-07-15,170.37216186523438,177.0,2496.12548828125,2588.0,-91.87451171875
our_vol3,Our vol3 STNPP-GAT-ZINB,15,2020-07-29,169.77659606933594,161.0,2665.902099609375,2749.0,-83.097900390625
our_vol3,Our vol3 STNPP-GAT-ZINB,16,2020-08-12,163.3994903564453,155.0,2829.301513671875,2904.0,-74.698486328125
our_vol3,Our vol3 STNPP-GAT-ZINB,17,2020-08-26,158.85159301757812,167.0,2988.153076171875,3071.0,-82.846923828125
our_vol3,Our vol3 STNPP-GAT-ZINB,18,2020-09-09,158.4631805419922,143.0,3146.6162109375,3214.0,-67.3837890625
our_vol3,Our vol3 STNPP-GAT-ZINB,19,2020-09-23,152.0557861328125,151.0,3298.671875,3365.0,-66.328125
our_vol3,Our vol3 STNPP-GAT-ZINB,20,2020-10-07,156.28189086914062,151.0,3454.953857421875,3516.0,-61.046142578125
our_vol3,Our vol3 STNPP-GAT-ZINB,21,2020-10-21,159.7318115234375,174.0,3614.685546875,3690.0,-75.314453125
our_vol3,Our vol3 STNPP-GAT-ZINB,22,2020-11-04,163.93594360351562,165.0,3778.62158203125,3855.0,-76.37841796875
our_vol3,Our vol3 STNPP-GAT-ZINB,23,2020-11-18,163.305908203125,190.0,3941.927490234375,4045.0,-103.072509765625
our_vol3,Our vol3 STNPP-GAT-ZINB,24,2020-12-02,162.92184448242188,191.0,4104.84912109375,4236.0,-131.15087890625
our_vol3,Our vol3 STNPP-GAT-ZINB,25,2020-12-16,165.9808349609375,166.0,4270.830078125,4402.0,-131.169921875
our_vol3,Our vol3 STNPP-GAT-ZINB,26,2020-12-30,168.298095703125,166.0,4439.1279296875,4568.0,-128.8720703125
our_vol3,Our vol3 STNPP-GAT-ZINB,27,2021-01-13,168.9363250732422,170.0,4608.064453125,4738.0,-129.935546875
our_vol3,Our vol3 STNPP-GAT-ZINB,28,2021-01-27,171.67269897460938,145.0,4779.7373046875,4883.0,-103.2626953125
our_vol3,Our vol3 STNPP-GAT-ZINB,29,2021-02-10,170.79391479492188,186.0,4950.53125,5069.0,-118.46875
our_vol3,Our vol3 STNPP-GAT-ZINB,30,2021-02-24,172.7003936767578,175.0,5123.2314453125,5244.0,-120.7685546875
our_vol3,Our vol3 STNPP-GAT-ZINB,31,2021-03-10,171.91671752929688,176.0,5295.14794921875,5420.0,-124.85205078125
our_vol3,Our vol3 STNPP-GAT-ZINB,32,2021-03-24,168.62396240234375,154.0,5463.77197265625,5574.0,-110.22802734375
our_vol3,Our vol3 STNPP-GAT-ZINB,33,2021-04-07,162.96429443359375,142.0,5626.736328125,5716.0,-89.263671875
our_vol3,Our vol3 STNPP-GAT-ZINB,34,2021-04-21,160.4378204345703,166.0,5787.17431640625,5882.0,-94.82568359375
