epoch,train_nll,validation_nll
1,0.6406327041573968,0.604545435298103
2,0.5569558439151273,0.5582064596036586
3,0.5376739675095165,0.5476667301829268
4,0.5287539245820935,0.5418005271849593
5,0.5232638422488901,0.5380586784383469
6,0.5195154295938839,0.5349658600101626
7,0.5168057337826202,0.5326480987466125
8,0.5147191510806829,0.5306997374661246
9,0.5132022561400748,0.5293148712737127
10,0.5119092611385573,0.5280684705284553
11,0.5108998388002233,0.5272069253895664
12,0.5099376324620191,0.5264781292344174
13,0.5091923626516021,0.5254252942920055
14,0.5083713510929377,0.524901549796748
15,0.5077107433617347,0.5242383871104336
16,0.5069834631419408,0.5236402756605691
17,0.5064634626185025,0.5231154725609756
18,0.5059452630210467,0.5225052400914634
19,0.505534404456516,0.5223612699017616
20,0.5050663745396656,0.5217758617039295
21,0.5047554836780015,0.521513539549458
22,0.5042895065889003,0.5214013804200542
23,0.5040657926448265,0.5208229060806233
24,0.503775794836436,0.5204908748306233
25,0.503564255597131,0.5202431084857724
26,0.5033075798532999,0.5201812330623307
27,0.5031307994092115,0.5201338075880759
28,0.5029397726257974,0.5198091865684282
29,0.502740627039653,0.5196105923949864
30,0.5026441944859462,0.5196087927676152
31,0.5024810382639228,0.5196503429878049
32,0.5023884662801714,0.5194159150575881
33,0.502228791672585,0.5193371019647697
34,0.5021746776869513,0.5191480352303524
35,0.5021087502730045,0.5192201791158536
36,0.5018572113251248,0.5191666666666667
37,0.501821160714495,0.5192718390074526
38,0.5017545338000731,0.5191752413617886
39,0.5016356850904296,0.518797901846206
40,0.5016325098412131,0.5185400258299458
41,0.501474151278975,0.5189420837567751
42,0.5013646894716592,0.5189513994749323
43,0.501330840037011,0.5185852282350949
44,0.5013550893425875,0.5188441099254743
45,0.5012006653668686,0.5187348090277778
46,0.5011611578858556,0.5182685996781843
47,0.5009971362853223,0.5181851816565041
48,0.5010017726775601,0.5183562521172087
49,0.501043425892616,0.5182308075033876
50,0.5009549320175307,0.5182319190379404
51,0.5008990571906186,0.5179952151084011
52,0.5007920890432898,0.5180435403963415
53,0.5007590730288457,0.5179044397865854
54,0.5007580920730489,0.5182825203252033
55,0.5006503455494269,0.5178457931063686
56,0.5006058315767735,0.517691554454607
57,0.5006624781461843,0.517757134993225
58,0.5005794102839118,0.5179198424796748
59,0.500538549691223,0.5178904662093496
60,0.5005113704209866,0.5176818682249322
61,0.5003963912203369,0.5177647569444445
62,0.5004244671805939,0.5178562732892954
63,0.5003356790469631,0.5178648479844173
64,0.5002882216596312,0.5180192983570461
65,0.5003117822114799,0.5179501714939024
66,0.5003167183848972,0.5177147908197832
67,0.5002040059352889,0.5179980733401084
68,0.5002113647041682,0.5176677358570461
69,0.5001837623470945,0.5179090447154472
70,0.5002282502655195,0.5180758807588076
71,0.5001515304305916,0.517742685044038
72,0.5001295721059915,0.5178266323678862
73,0.500065820842036,0.5176631309281843
74,0.5000874480905305,0.5179146023882114
75,0.5000395282447901,0.5177650215955285
76,0.4999755876025824,0.5175891344850948
77,0.5000255815871371,0.5177203484925474
78,0.499895724045547,0.5178094300474255
79,0.49993112867384,0.5177004996612466
80,0.4999237655266564,0.5176172404302168
81,0.4997158778098535,0.5178160463245257
82,0.4997710530533681,0.5178100652100271
83,0.4997650721899721,0.5177971502371274
84,0.4998158452639529,0.5177328400237128
85,0.4998427392146822,0.5179523416327914
86,0.4998637311446647,0.5176985941734418
87,0.499806260127257,0.5177078040311653
88,0.4996575529401542,0.517524877201897
89,0.499669003267718,0.517409277608401
90,0.4996773882017045,0.5177436377879404
91,0.4996993245186909,0.5174904725609756
92,0.499626422664757,0.5176015730860434
93,0.4996311283138107,0.5173744495257453
94,0.4995930280596532,0.5174529979674797
95,0.4995002337608592,0.5173995913787263
96,0.49955495576694,0.517626820799458
97,0.499435985293996,0.5176435467479675
98,0.4994042083562979,0.5173623814363144
99,0.4994165195845602,0.5176754107384823
100,0.4994485132317445,0.5173491488821138
