model,model_label,bin,n,mean_probability,observed_rate,abs_calibration_error
our_vol3,Our vol3 STNPP-GAT-ZINB,0,734437,5.015280855043927e-06,0.0002627863247630498,0.0002577710439080058
our_vol3,Our vol3 STNPP-GAT-ZINB,1,734355,7.104800768905932e-06,0.0005596748166758584,0.0005525700159069525
our_vol3,Our vol3 STNPP-GAT-ZINB,2,734360,7.816155532341295e-06,0.0006713328612669536,0.0006635167057346123
our_vol3,Our vol3 STNPP-GAT-ZINB,3,734541,8.331349127878487e-06,0.0007079250851892543,0.0006995937360613758
our_vol3,Our vol3 STNPP-GAT-ZINB,4,734101,8.839835962740984e-06,0.0006702075055067355,0.0006613676695439945
our_vol3,Our vol3 STNPP-GAT-ZINB,5,734393,9.616814077212519e-06,0.00044118067574173503,0.0004315638616645225
our_vol3,Our vol3 STNPP-GAT-ZINB,6,734332,0.0005838772234802534,0.0008756257387666614,0.00029174851528640804
our_vol3,Our vol3 STNPP-GAT-ZINB,7,734351,0.0028913476275916855,0.0031728696495272697,0.0002815220219355842
our_vol3,Our vol3 STNPP-GAT-ZINB,8,734354,0.006329762504468644,0.005764249939402523,0.0005655125650661213
our_vol3,Our vol3 STNPP-GAT-ZINB,9,734359,0.020036979925884397,0.017381144644513107,0.0026558352813712896
