forecast_date,rank,cell_id,risk,background,trigger
2012-05-16,1,c0040_0070,0.021181441963106822,0.020824657534246574,0.00035678442886024936
2012-05-16,2,c0003_0034,0.018751034395001982,0.018221917808219176,0.0005291165867828066
2012-05-16,3,c0013_0028,0.018694962691997174,0.018221917808219176,0.00047304488377799696
2012-05-16,4,c0029_0014,0.016863582957415187,0.01561917808219178,0.0012444048752234065
2012-05-16,5,c0036_0030,0.01622629498072279,0.01561917808219178,0.0006071168985310094
2012-05-16,6,c0033_0099,0.013626514549216486,0.013016438356164384,0.0006100761930521013
2012-05-16,7,c0021_0029,0.013400501491307856,0.013016438356164384,0.00038406313514347174
2012-05-16,8,c0029_0013,0.011416882408672724,0.010413698630136985,0.0010031837785357384
2012-05-16,9,c0050_0054,0.011160409253080077,0.010413698630136985,0.0007467106229430918
2012-05-16,10,c0031_0024,0.011152488991116542,0.010413698630136985,0.0007387903609795567
2012-05-16,11,c0052_0012,0.011087915523551648,0.010413698630136985,0.0006742168934146629
2012-05-16,12,c0034_0093,0.010912506677068235,0.010413698630136985,0.0004988080469312501
2012-05-16,13,c0050_0031,0.01059150185822528,0.010413698630136985,0.0001778032280882957
2012-05-16,14,c0007_0044,0.008940740218027996,0.007810958904109587,0.001129781313918409
2012-05-16,15,c0043_0009,0.00873059228008299,0.007810958904109587,0.0009196333759734026
2012-05-16,16,c0044_0012,0.008598394884734857,0.007810958904109587,0.0007874359806252702
2012-05-16,17,c0027_0032,0.008565018043851538,0.007810958904109587,0.0007540591397419497
2012-05-16,18,c0004_0036,0.008555400397524775,0.007810958904109587,0.0007444414934151882
2012-05-16,19,c0057_0019,0.008542470032273394,0.007810958904109587,0.0007315111281638062
2012-05-16,20,c0001_0062,0.008542169971416243,0.007810958904109587,0.0007312110673066556
2012-05-17,1,c0040_0070,0.021177499634061927,0.020824657534246574,0.0003528420998153532
2012-05-17,2,c0003_0034,0.018745187862699905,0.018221917808219176,0.000523270054480728
2012-05-17,3,c0013_0028,0.018689735730184925,0.018221917808219176,0.00046781792196574836
2012-05-17,4,c0029_0014,0.016849832767983224,0.01561917808219178,0.0012306546857914424
2012-05-17,5,c0036_0030,0.01621958657534094,0.01561917808219178,0.0006004084931491605
2012-05-17,6,c0033_0099,0.013619773444782214,0.013016438356164384,0.0006033350886178296
2012-05-17,7,c0021_0029,0.013396257743177965,0.013016438356164384,0.0003798193870135807
2012-05-17,8,c0029_0013,0.011405797618453251,0.010413698630136985,0.0009920989883162661
2012-05-17,9,c0050_0054,0.011152158391386464,0.010413698630136985,0.000738459761249478
2012-05-17,10,c0031_0024,0.011144325645234316,0.010413698630136985,0.00073062701509733
2012-05-17,11,c0052_0012,0.011080465689347955,0.010413698630136985,0.0006667670592109698
2012-05-17,12,c0034_0093,0.010906995042332586,0.010413698630136985,0.0004932964121956008
2012-05-17,13,c0050_0031,0.01058953720177262,0.010413698630136985,0.00017583857163563614
2012-05-17,14,c0007_0044,0.008928256574326197,0.007810958904109587,0.0011172976702166096
2012-05-17,15,c0043_0009,0.008720430689286168,0.007810958904109587,0.0009094717851765806
2012-05-17,16,c0044_0012,0.00858969402369299,0.007810958904109587,0.0007787351195834027
2012-05-17,17,c0027_0032,0.00855668598390803,0.007810958904109587,0.0007457270797984411
2012-05-17,18,c0004_0036,0.008547174608829087,0.007810958904109587,0.0007362157047194994
2012-05-17,19,c0057_0019,0.00853438711908002,0.007810958904109587,0.0007234282149704324
2012-05-17,20,c0001_0062,0.008534090373778528,0.007810958904109587,0.0007231314696689416
2012-05-18,1,c0040_0070,0.021173600866218254,0.020824657534246574,0.0003489433319716786
2012-05-18,2,c0003_0034,0.018739405932303745,0.018221917808219176,0.000517488124084568
2012-05-18,3,c0013_0028,0.018684566524265877,0.018221917808219176,0.0004626487160467006
2012-05-18,4,c0029_0014,0.016836234512791617,0.01561917808219178,0.0012170564305998368
2012-05-18,5,c0036_0030,0.01621295229522702,0.01561917808219178,0.0005937742130352396
2012-05-18,6,c0033_0099,0.01361310682692767,0.013016438356164384,0.0005966684707632857
2012-05-18,7,c0021_0029,0.013392060886812844,0.013016438356164384,0.0003756225306484595
2012-05-18,8,c0029_0013,0.011394835310850462,0.010413698630136985,0.0009811366807134778
2012-05-18,9,c0050_0054,0.011143998698502553,0.010413698630136985,0.0007303000683655682
2012-05-18,10,c0031_0024,0.011136252501146146,0.010413698630136985,0.0007225538710091611
2012-05-18,11,c0052_0012,0.011073098172912037,0.010413698630136985,0.0006593995427750523
2012-05-18,12,c0034_0093,0.01090154430901512,0.010413698630136985,0.00048784567887813463
2012-05-18,13,c0050_0031,0.010587594254008934,0.010413698630136985,0.0001738956238719496
2012-05-18,14,c0007_0044,0.008915910870027495,0.007810958904109587,0.0011049519659179084
2012-05-18,15,c0043_0009,0.008710381380111805,0.007810958904109587,0.0008994224760022178
2012-05-18,16,c0044_0012,0.008581089303778442,0.007810958904109587,0.0007701303996688551
2012-05-18,17,c0027_0032,0.008548445989983276,0.007810958904109587,0.0007374870858736883
2012-05-18,18,c0004_0036,0.008539039711896235,0.007810958904109587,0.0007280808077866482
2012-05-18,19,c0057_0019,0.008526393518930803,0.007810958904109587,0.0007154346148212163
2012-05-18,20,c0001_0062,0.008526100052549373,0.007810958904109587,0.000715141148439786
2012-05-19,1,c0040_0070,0.021169745178241484,0.020824657534246574,0.0003450876439949099
2012-05-19,2,c0003_0034,0.018733687889987593,0.018221917808219176,0.0005117700817684151
2012-05-19,3,c0013_0028,0.018679454436059895,0.018221917808219176,0.0004575366278407179
2012-05-19,4,c0029_0014,0.01737524573390574,0.01561917808219178,0.0017560676517139578
2012-05-19,5,c0036_0030,0.01620639132132567,0.01561917808219178,0.0005872132391338924
2012-05-19,6,c0033_0099,0.013606513872605145,0.013016438356164384,0.0005900755164407609
2012-05-19,7,c0021_0029,0.013387910404076747,0.013016438356164384,0.00037147204791236247
2012-05-19,8,c0029_0013,0.011383994132479126,0.010413698630136985,0.0009702955023421408
2012-05-19,9,c0050_0054,0.011135929167048492,0.010413698630136985,0.0007222305369115069
2012-05-19,10,c0031_0024,0.011128268562157326,0.010413698630136985,0.0007145699320203404
2012-05-19,11,c0052_0012,0.011065812064664608,0.010413698630136985,0.0006521134345276224
2012-05-19,12,c0034_0093,0.010896153804178875,0.010413698630136985,0.00048245517404188915
2012-05-19,13,c0050_0031,0.01058567277506166,0.010413698630136985,0.00017197414492467413
2012-05-19,14,c0007_0044,0.008903701580955188,0.007810958904109587,0.0010927426768456007
2012-05-19,15,c0043_0009,0.008700443111891684,0.007810958904109587,0.0008894842077820968
2012-05-19,16,c0044_0012,0.008572579662669185,0.007810958904109587,0.0007616207585595983
2012-05-19,17,c0027_0032,0.008540297044783611,0.007810958904109587,0.0007293381406740246
